"BPS_NAME","lat","lon","elev","Tg.90th","Tg.10th","Tg","Tw","Tc","Tclx","p","e","M.90","M.10","M","m","md","max3aet","n"
"Acadian Low-Elevation Spruce-Fir-Hardwood Forest",45.4333343505859,-68.8666687011719,187,15.1913331985474,12.6716667175293,14,18.6749992370605,-10.789999961853,-31.3146834912339,1111.03002929688,483.612182617188,2.63756826983723,2.10361805653745,2.27839662391528,0.694972813129425,0.995750345289707,271.253044128418,655
"Acadian-Appalachian Montane Spruce-Fir Forest",44.3374996185303,-73.2916641235352,603,13.9562500953674,11.2101667404175,12.883749961853,17.4449996948242,-9.96999979019165,-31.4612330753995,1240.71002197266,455.190383911133,3.99426686151575,2.20010725646325,2.72019814064847,0.731197118759155,0.999999997182036,267.592895507812,150
"Acadian-Appalachian Subalpine Woodland and Heath-Krummholz",44.1666679382324,-73.9166641235352,1092,12.2561666488647,11.6488332748413,11.7774991989136,16.0149993896484,-10.8549995422363,-32.1396080992412,1403.71997070312,422.168548583984,3.56707610659271,3.30638761710932,3.32502182578315,0.768787264823914,0.999999991260359,250.302223205566,3
"Alabama Ketona Glade and Woodland",33.1500015258789,-87.0083312988281,137,23.6129993438721,23.5478332519531,23.5658340454102,26.9699993133545,6.42000007629395,-11.1416338129629,1425.2900390625,975.801025390625,1.4810034300337,1.44085964494644,1.46063578118127,0.593600988388062,0.95012579485774,357.409996032715,5
"Allegheny-Cumberland Dry Oak Forest and Woodland",36.7333335876465,-83.4749984741211,349,22.3305000305176,17.8930000305176,19.8040046691895,23.7443447113037,1.19038820266724,-18.1478945053376,1204.92993164062,757.545959472656,1.89637266803968,1.42432465374274,1.60144174745508,0.615597784519196,0.964805472642183,322.76456451416,1405
"Apacherian-Chihuahuan Mesquite Upland Scrub",32.0708332061768,-110.637500762939,880.5,27.572749710083,21.8030832290649,25.249584197998,28.9525003433228,9.32500076293945,-7.87190772162556,340.595001220703,1262.41363525391,0.374138775767872,0.197798005543732,0.265046074290079,0.209514409303665,0.265046149492264,161.744998931885,72
"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",32.0416679382324,-104.708335876465,1323,25.2469993591309,19.8342502593994,22.5066661834717,25.7825002670288,6.0550000667572,-12.1006414297008,340.160003662109,1103.34185791016,0.427613100594725,0.239185022636034,0.309964043503797,0.236620284616947,0.308541923761368,156.520000457764,1264
"Appalachian (Hemlock-)Northern Hardwood Forest",41.6916656494141,-77.625,379,18.2873332977295,14.6498338699341,15.9083337783813,20.375,-5.16499996185303,-23.5410620648849,1162.60998535156,563.449340820312,2.31640173316361,1.66036363291695,2.04241950413431,0.671314239501953,0.999999954850889,296.036422729492,709
"Arkansas Valley Prairie and Woodland - Prairie",35.2249984741211,-94.2416687011719,154,23.5673332214355,23.2021667480469,23.3708343505859,27.5,4.10499954223633,-13.8057531179654,1226.86999511719,922.023132324219,1.37668874260614,1.29020436235138,1.32935542493461,0.570696711540222,0.854650303721428,302.590789794922,43
"Arkansas Valley Prairie and Woodland - Woodland",35.2124996185303,-94.1916656494141,154,23.5466665267944,23.1154176712036,23.3745832443237,27.5174999237061,4.1175000667572,-13.7844825642258,1229.52502441406,923.513427734375,1.37963285745612,1.29903730793593,1.33113688990058,0.571024566888809,0.856203645467758,303.013217926025,38
