"BPS_NAME","lat","lon","elev","Tg.90th","Tg.10th","Tg","Tw","Tc","Tclx","p","e","M.90","M.10","M","m","md","max3aet","n"
"Atlantic Coastal Plain Clay-Based Carolina Bay Wetland",32.966667175293,-79.9000015258789,1,24.5184993743896,22.9866668701172,24.3474998474121,27.5349998474121,8.61499977111816,-8.71712957300166,1242.33996582031,969.080993652344,1.52382367820369,1.19409809902187,1.28197730195942,0.5617835521698,0.940928760915995,365.329216003418,7
"Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest",33.125,-81.904167175293,58,24.6486665725708,21.7685834884644,23.8670825958252,27.3399991989136,7.51250004768372,-10.3109157277827,1175.15002441406,999.287506103516,1.40525847438648,1.11539853666652,1.17048000526046,0.539272427558899,0.908286776393652,352.311031341553,154
"Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland",33.7916660308838,-81.3375015258789,117,24.0308332443237,22.7845840454102,23.5162506103516,27.0450000762939,6.98250007629395,-10.5710661939206,1161.79498291016,969.893280029297,1.3067101887533,1.14621066018777,1.19618244837553,0.54466438293457,0.904450085014105,352.331760406494,286
"Atlantic Coastal Plain Mesic Hardwood Forest",37.7124996185303,-76.75,18.5,23.5565004348755,20.6575830459595,21.6383333206177,25.8549995422363,3.20500016212463,-13.6131839804139,1142.72998046875,810.136657714844,1.54408165567916,1.2342632371126,1.41557756311409,0.586020320653915,0.944776348769665,319.106224060059,500
"Atlantic Coastal Plain Peatland Pocosin and Canebrake",35.2000007629395,-76.6416702270508,4,23.2938335418701,22.8704990386963,23.0699996948242,26.6200008392334,6.55499982833862,-10.017137430979,1313.41003417969,874.139770507812,1.61599880820188,1.44198479534565,1.52238753767765,0.60355019569397,0.99306556256488,352.569633483887,93
"Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall",32.7583351135254,-82.3666687011719,46,25.091333770752,22.3073337554932,24.1958332061768,27.4549980163574,8.125,-9.51729561557515,1172.30004882812,1026.48364257812,1.44320225413585,1.12130163136884,1.17055565442474,0.539288461208344,0.912279203534126,362.037399291992,15
"Atlantic Coastal Plain Upland Longleaf Pine Woodland",33.1416664123535,-80.875,44,24.8513336181641,22.7674999237061,24.0133323669434,27.4249992370605,7.81999969482422,-9.71006459569405,1186.46997070312,1001.1826171875,1.39332144103791,1.11998997671907,1.19087251574398,0.543560862541199,0.932049788534641,367.005157470703,1219
"Barren-Rock/Sand/Clay",38.0833320617676,-113.375,1293,28.3188339233398,7.40699987411499,19.0208320617676,24.9200000762939,-0.769999980926514,-17.5729435991201,225.639999389648,856.683715820312,3.2702958204742,0.0738792463427091,0.258011736567867,0.205094859004021,0.220807313919067,77.6099987030029,1689
"Bluegrass Savanna and Woodland",38.2000007629395,-84.375,264,20.466809463501,20.2203330993652,20.3354988098145,24.4199962615967,0.360000133514404,-18.7562861016121,1155.44995117188,746.349426269531,1.57416075496686,1.48809315135038,1.55711666969961,0.608934581279755,0.930217802524567,315.135734558105,17
"Boreal Acid Peatland Systems",46.3125,-85.970832824707,234,14.3717502593994,13.3210834503174,13.7237505912781,18.2550001144409,-9.08500003814697,-27.7201773822858,826.435028076172,491.241394042969,1.8799686865886,1.51984805313877,1.68796666646618,0.627971589565277,0.871635183691978,233.415000915527,74
"Boreal Acidic Peatland Systems",47.4416656494141,-93.3624992370605,386,14.9604167938232,13.5508332252502,14.0262498855591,19.0849990844727,-13.7349996566772,-34.6402250220468,705.649993896484,497.123321533203,1.62187184206725,1.25457325049041,1.4141483105725,0.585775226354599,0.976667508482933,280.932426452637,356
"Boreal Aspen-Birch Forest",48.1749992370605,-96.5,307,15.2461666107178,14.2755001068115,14.9441661834717,20.1399993896484,-14.4099998474121,-34.8936590987362,583.97998046875,520.256042480469,1.21272690983693,1.00773349786619,1.12248550816615,0.528854250907898,0.892560049891472,258.252922058105,3
"Boreal Jack Pine-Black Spruce Forest",47.908332824707,-92.2333297729492,424,13.8374996185303,13.1149997711182,13.4208335876465,18.5699996948242,-14.3999996185303,-35.6445473015501,712.22998046875,485.921173095703,1.59689988090957,1.40136838067478,1.46474955268925,0.594279289245605,0.985058171674609,284.960609436035,61
"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",47.9291667938232,-92.720832824707,423,14.3600001335144,12.8754162788391,13.6033334732056,18.7099990844727,-14.2550001144409,-35.3440291067231,712.929992675781,487.251907348633,1.71834280252663,1.3049388540525,1.45020900612076,0.591871500015259,0.981742336414754,279.987777709961,256
"Boreal White Spruce-Fir-Hardwood Forest - Coastal",46.3833351135254,-88.1416702270508,252,15.0100002288818,13.0383329391479,14.0083332061768,18.7700004577637,-9.9350004196167,-29.4357761904233,781.099975585938,486.441589355469,1.79556463836565,1.38356515316197,1.6479517369011,0.622349619865417,0.92284370213747,241.169998168945,81
"Boreal White Spruce-Fir-Hardwood Forest - Inland",46.9125003814697,-91.8208351135254,377,14.737916469574,13.0162501335144,13.9679169654846,18.8999996185303,-12.1624994277954,-32.126721590797,765.184997558594,493.312576293945,1.76610529209073,1.3692305804475,1.52121621174432,0.603365927934647,0.982120577245951,277.167861938477,296
"California Central Valley Mixed Oak Savanna",37.7416667938232,-121.208335876465,31.5,22.4015827178955,19.5232509613037,21.8595838546753,24.7349996566772,8.0475001335144,-3.8651293657232,410.035003662109,1079.0478515625,0.528544795981347,0.281335719503705,0.390511165447211,0.280838221311569,0.244223117828369,126.859386444092,90
"California Central Valley Riparian Woodland and Shrubland",38.0666656494141,-121.408332824707,28,23.2585006713867,21.3170001983643,22.2591667175293,25.5300006866455,7.94000005722046,-4.06505690364995,395.160003662109,1064.43774414062,0.562025729609369,0.185510818981269,0.378881378681475,0.274774461984634,0.246178030967712,124.849531173706,245
"California Central Valley and Southern Coastal Grassland",37.7583351135254,-121.724998474121,53,22.3691665649414,17.9903335571289,20.4225006103516,22.5100002288818,8.35000038146973,-2.92724629186214,486.399993896484,1000.81451416016,0.638107010683628,0.273010676577715,0.501734953327032,0.334103524684906,0.277846992015839,132.733879089355,85
"California Coastal Live Oak Woodland and Savanna",36.9583320617676,-121.733329772949,95,19.5631656646729,15.9199996948242,17.5441665649414,19.0499992370605,9.50500011444092,-1.96879842354381,615.419982910156,903.357055664062,1.05955819482142,0.436989954657024,0.671016856215476,0.401562005281448,0.33142352104187,141.054298400879,49
"California Coastal Redwood Forest",39.654167175293,-123.650001525879,268,18.8440828323364,14.0819999694824,16.9758329391479,19.2374992370605,8.17500019073486,-3.11102500945697,1408.27502441406,798.5224609375,2.80057981109356,1.22661903091292,1.77984890573027,0.640268176794052,0.449132442474365,171.086572647095,192
"California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna",38.2750015258789,-121.083335876465,359,22.7771667480469,19.4975006103516,21.2666664123535,24.8549995422363,7.86000061035156,-4.55048883718406,593.919982910156,1035.91870117188,1.05239064945063,0.302957727358557,0.578575178308643,0.366517335176468,0.278444886207581,138.620502471924,565
"California Mesic Chaparral",36.9416656494141,-120,576,22.4095001220703,18.2126663208008,20.9724998474121,24.6149997711182,8.17500019073486,-3.81298820011679,587.349975585938,986.80126953125,0.950026325311649,0.408590366811539,0.597465879590097,0.374008536338806,0.298004150390625,142.234352111816,53
"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",39.8875007629395,-120.333335876465,1817.5,16.1349992752075,11.7741665840149,13.4179167747498,17.8650007247925,-0.597499847412109,-16.2381914048413,640.434997558594,626.655029296875,1.84867618832253,0.628865478327949,1.06494630012478,0.515720427036285,0.334845095872879,90.5953350067139,236
"California Montane Riparian Systems",39.1666679382324,-122.041664123535,423,22.2269992828369,12.9593338012695,16.8374996185303,20.3549995422363,6.19000053405762,-6.96496482766208,890.059997558594,781.138427734375,2.62589274932148,0.387524336196171,0.962617288620931,0.490476310253143,0.359753310680389,152.32006072998,29
"California Montane Woodland and Chaparral",38.8125,-121.420833587646,1122.5,19.8845832824707,12.6871668815613,18.4262495040894,21.9700002670288,5.06750011444092,-6.91495100225012,780.545013427734,836.332122802734,2.9462508547721,0.387824357166343,0.981098918521226,0.49514701962471,0.329744815826416,116.994860649109,14
"California Northern Coastal Grassland",36.7374992370605,-121.758335113525,27.5,15.4904999732971,15.2011666297913,15.3458333015442,16.1574997901917,10.9200000762939,0.149113662601197,395.815002441406,746.881896972656,0.573745545836674,0.489275682833167,0.531510614334921,0.346273079514503,0.357714891433716,126.965940475464,2
"California Xeric Serpentine Chaparral",39.7666664123535,-122.625,862,20.5149993896484,20.5149993896484,20.5149993896484,25.0849990844727,5.84000015258789,-5.29755441952805,852.429992675781,819.372436523438,1.04034484276542,1.04034484276542,1.04034484276542,0.509886741638184,0.353885769844055,147.457233428955,1
"Caribbean Coastal Wetland Systems",25.3250007629395,-81.0666656494141,0,27.5451663970947,26.9368339538574,27.2600002288818,28.3950004577637,19.4449996948242,3.79207158522027,1297.41003417969,1090.52221679688,1.30941603179564,1.1118257917358,1.19325105153857,0.544055819511414,0.844318419694901,342.433898925781,25
"Caribbean Swamp Systems",26.0416660308838,-81,2,27.4416675567627,26.8999996185303,27.1774997711182,28.4249992370605,18.4650001525879,0.649738763580749,1382.75,1180.49145507812,1.24298638563895,1.07994729945119,1.1748954948606,0.540207803249359,0.83634777367115,370.181503295898,51
"Central Appalachian Alkaline Glade and Woodland",39.8125,-78.5666656494141,357.5,19.6662092208862,17.8612842559814,18.7241649627686,23.0725059509277,-0.947500109672546,-18.7647626124625,1019.27499389648,688.373321533203,1.56776645917145,1.33751570362387,1.4876988704251,0.597806006669998,0.910072159022093,281.866092681885,6
"Central Appalachian Dry Oak-Pine Forest",41.7750015258789,-73.4833297729492,181,18.8221458435059,15.6891666412354,16.9899997711182,21.5750007629395,-4.29500007629395,-22.4079368765628,1184.22998046875,591.18359375,2.20612232073833,1.56562863759502,2.00225429250406,0.666916966438293,0.981556411832571,295.745269775391,995
"Central Appalachian Pine-Oak Rocky Woodland",41.7374992370605,-73.7458305358887,323.5,18.4386552810669,15.0598336219788,16.9608325958252,21.1776390075684,-3.91499996185303,-21.9702894888382,1267.94000244141,576.46484375,2.609596874351,1.82022804121397,2.10014126002758,0.677433341741562,0.99999997390048,297.067234039307,18
"Central Atlantic Coastal Plain Maritime Forest",32.9333343505859,-79.658332824707,1,24.8545001983643,23.0936668395996,24.408332824707,27.4850006103516,9.07999992370605,-7.10103721949818,1277.67993164062,910.705078125,1.7928591237352,1.29083096953528,1.3895833171789,0.581516981124878,0.953038737177849,341.184631347656,15
"Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest",35.9416656494141,-76.5083312988281,3,23.2749996185303,22.216667175293,22.8408336639404,26.5100002288818,5.84000015258789,-10.3770758277219,1270.17004394531,851.617858886719,1.5979707427925,1.41152576583436,1.49581940541756,0.599330008029938,0.992867012042552,348.580551147461,71
"Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods",34.3833351135254,-78.408332824707,12,23.82516746521,22.8465007781982,23.2716655731201,26.8250007629395,6.86000061035156,-10.4042022223549,1306.73999023438,918.538513183594,1.6251291180391,1.23560605698191,1.41194528362716,0.585396885871887,0.973181433975697,361.99104309082,183
"Central Florida Pine Flatwoods",28.3208341598511,-81.8000030517578,15,26.6568325042725,25.6579996109009,26.2954158782959,27.8150005340576,15.1124997138977,-3.41879135766628,1312.59497070312,1134.79534912109,1.24777449765714,1.07808267571046,1.16294076869572,0.537666469812393,0.887712184339762,379.908496856689,430
"Central Interior Highlands Calcareous Glade and Barrens",38.1166667938232,-85.4458351135254,238,22.4257503509521,18.9673328399658,20.6658334732056,24.7700004577637,0.422375440597534,-18.9525761287719,1156.28002929688,754.413696289062,1.6521775462821,1.47299845019952,1.56480760136239,0.610107213258743,0.923405580222607,307.795032501221,70
"Central Interior Highlands Dry Acidic Glade and Barrens",38.7750015258789,-83.7708320617676,272,20.4437496185303,19.2595836639404,19.4741668701172,23.6700000762939,-0.797500133514404,-20.2399307388664,1137.48999023438,714.121368408203,1.62439819115963,1.5273915997974,1.60265103773947,0.615775585174561,0.950462032109499,315.465469360352,18
"Central Interior and Appalachian Floodplain Systems",39.0166664123535,-88.0833358764648,221,22.3699020385742,17.3341663360596,20.4158325195312,25,-1.21500015258789,-20.5330522634479,1048.9599609375,735.219482421875,1.63230759732069,1.20027697410372,1.45361391402559,0.592437922954559,0.940912213176489,310.452835083008,939
"Central Interior and Appalachian Riparian Systems",35.3875007629395,-84.9166641235352,225.5,22.9804162979126,17.0548915863037,21.5068511962891,25.4442014694214,3.46500015258789,-14.6890884222798,1296.22503662109,843.713470458984,1.82889627965205,1.35075209415004,1.57302989512579,0.611353099346161,0.945014266297221,323.522804260254,386
"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",45.1916656494141,-93.625,302,18.6149993896484,15.7173328399658,16.8341655731201,21.7800006866455,-10.0950002670288,-29.3854280578916,782.799987792969,563.959838867188,1.51212774333546,1.25440783452401,1.37726734817782,0.579348981380463,0.965120576322079,297.785911560059,37
"Central Interior and Appalachian Swamp Systems",41.8916664123535,-83.5083312988281,192,20.816333770752,16.5135005950928,17.5349998474121,22.1650009155273,-3.89499998092651,-21.9871992337927,930.099975585938,603.635009765625,2.06959261282473,1.38948442686656,1.53707237781213,0.605844914913177,0.915682263672352,278.308769226074,223
"Central Mixedgrass Prairie",38.2750015258789,-99.783332824707,631,24.7858333587646,18.2119995117187,20.7316665649414,25.9750003814697,-0.805000066757202,-21.1897421429541,619.239990234375,832.674011230469,1.00219061412207,0.544769673678987,0.688590428905702,0.407790094614029,0.660057067871094,250.120006561279,5043
"Central Tallgrass Prairie",40.5999984741211,-92.75,279,20.7699996948242,17.8299999237061,19.4441661834717,24.1200008392334,-4.09000015258789,-23.3095505420518,931.450012207031,679.141540527344,1.51102644964022,1.12273644134578,1.41737992744013,0.586328983306885,0.962032131850719,312.039001464844,3977
"Central and South Texas Coastal Fringe Forest and Woodland",27.1416664123535,-97.6999969482422,8,27.7888339996338,26.9470001220703,27.4491672515869,29.375,13.7849998474121,-1.94095307425609,654.25,1206.12976074219,0.985479261782414,0.429216026511823,0.554048070384632,0.356519252061844,0.536065667867661,239.015789031982,67
"Central and Southern Appalachian Montane Oak Forest",36.466667175293,-81.6666641235352,1021,17.1433849334717,15.4091472625732,16.3737697601318,20.0697479248047,-0.490000247955322,-19.507842945388,1321.17004394531,623.613586425781,2.96701672348413,1.78077941362486,2.12758943445168,0.680264949798584,0.999999983054661,289.823738098145,113
"Central and Southern Appalachian Spruce-Fir Forest",38.4916648864746,-79.908332824707,1118,15.3003288269043,13.9420616149902,14.5487422943115,18.188648223877,-3.98932933807373,-23.7086641948393,1396.0400390625,536.446716308594,3.06285477980894,2.36876926175373,2.60134642282445,0.722326099872589,0.999999992105548,273.766082763672,45
"Central and Southern California Mixed Evergreen Woodland",35.9916648864746,-120.974998474121,448,21.1925010681152,17.4099998474121,19.4166660308838,22.4549999237061,8.56999969482422,-3.35642887721824,536.400024414062,956.797424316406,0.989888116747018,0.289571616349181,0.57863063432897,0.366539597511292,0.296240091323853,135.564018249512,231
"Central and Upper Texas Coast Dune and Coastal Grassland",27.716667175293,-97.1416664123535,2,27.5870834350586,26.778999710083,27.2637500762939,29.3599996566772,13.6774997711182,0.119993545996934,823.870025634766,968.8896484375,1.09689299589883,0.603441727170793,0.842306477002316,0.457201451063156,0.755698956549168,241.579181671143,8
"Chihuahuan Creosotebush Desert Scrub",30.3791666030884,-103.545833587646,994,26.964916229248,22.417166519165,24.9674997329712,27.6674995422363,8.26999998092651,-10.0568977116275,304.920013427734,1181.94982910156,0.353825756004536,0.188826851744077,0.256228083073556,0.203966192901134,0.256228178739548,138.129999160767,168
"Chihuahuan Grama Grass-Creosote Steppe",32.8583335876465,-107.074996948242,1485,23.4791679382324,19.1441669464111,21.8349990844727,25.620002746582,5.03000068664551,-12.4079392745003,297.559997558594,1073.12548828125,0.395223681698226,0.224720961795777,0.271862243721962,0.213751316070557,0.270975351333618,151.229999542236,241
"Chihuahuan Gypsophilous Grassland and Steppe",32.0750007629395,-107.408332824707,1254.5,25.3780826568604,20.3911668777466,23.2337503433228,27.085000038147,5.9524998664856,-12.0524929091065,293.18000793457,1183.03686523438,0.314267035731355,0.211153137225786,0.248636537879441,0.199126407504082,0.247369825839996,133.604999542236,94
"Chihuahuan Loamy Plains Desert Grassland",31.5750007629395,-103.625,994,25.2326663970947,22.0873332977295,24.2224998474121,27.5100002288818,6.76500034332275,-11.9023728766345,338.029998779297,1144.14819335938,0.396154283303906,0.237682426455982,0.294549067396235,0.227530255913734,0.294549167156219,149.569999694824,409
"Chihuahuan Mixed Desert Shrubland",32.375,-106.699996948242,1288,24.1548336029053,20.2040000915527,23.093334197998,26.8549995422363,5.94000053405762,-11.5099854347648,256.130004882812,1158.21606445312,0.324176502322565,0.204768174823699,0.230394575975078,0.187252596020699,0.230394661426544,127.329999923706,135
"Chihuahuan Mixed Desert and Thorn Scrub",30.283332824707,-102.808334350586,1037,26.5206665039063,22.4060001373291,24.716667175293,27.3600006103516,8.27999973297119,-9.98447719224429,357.350006103516,1163.04479980469,0.355211394319687,0.227693217524348,0.306905166037552,0.234833538532257,0.306905269622803,150.159996032715,87
"Chihuahuan Mixed Salt Desert Scrub",31.2999992370605,-104.141670227051,1084,24.736833190918,20.3496662139893,24.0058326721191,27.4650001525879,6.88999938964844,-11.8715793810224,310.149993896484,1208.69348144531,0.305605969516455,0.189187627845911,0.260838584962458,0.206877067685127,0.260838687419891,144.599994659424,65
"Chihuahuan Sandy Plains Semi-Desert Grassland",32.6416664123535,-106.849998474121,1377,23.6825004577637,20.3059993743896,22.3074989318848,26.2749996185303,5.03999996185303,-12.7474461560749,266.690002441406,1119.3515625,0.306970095202622,0.216069401622578,0.240513270985562,0.193882077932358,0.240158557891846,131.220001220703,169
"Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub",32.3208332061768,-103.916664123535,1125,23.8383344650269,22.7388336181641,23.5933332443237,27.1399993896484,6.19750022888184,-11.8917720189912,339.934997558594,1143.04449462891,0.317894795654998,0.256763155033484,0.298141775369165,0.229667611420155,0.298141837120056,153.024997711182,34
"Chihuahuan Succulent Desert Scrub",31.6749992370605,-109.566665649414,1286,25.4968334197998,21.2268337249756,23.0366668701172,26.4200000762939,7.92500019073486,-9.47578264288549,391.470001220703,1144.07666015625,0.422202088344457,0.266704131590081,0.346279213408559,0.257212042808533,0.344493985176086,176.819999694824,519
"Chihuahuan-Sonoran Desert Bottomland and Swale Grassland",31.6000003814697,-102.866668701172,1090,26.4066669464111,22.156665802002,23.656665802002,26.9200000762939,7.16499996185303,-10.6914325817334,427.260009765625,1122.40991210938,0.609345106771565,0.250671970861901,0.401347111309689,0.2864009141922,0.38844507932663,190.680000305176,67
"Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Alkali Sacaton",31.3624992370605,-103.504165649414,814,25.7030838012695,23.1606672286987,24.8779163360596,28.2175006866455,7.2024998664856,-11.9325413329802,329.664993286133,1229.19702148438,0.454659371028866,0.221541378056238,0.264187081788156,0.208974786102772,0.264187157154083,142.104999542236,50
"Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Tobosa Grassland",31.0750007629395,-103.708332061768,1143,25.0770835876465,22.3216667175293,23.5033321380615,26.5649995803833,6.59250020980835,-11.612880985491,341.214996337891,1155.23712158203,0.365329587569781,0.249244265743769,0.290103916662932,0.224862702190876,0.290104001760483,162.009998321533,46
"Colorado Plateau Blackbrush-Mormon-tea Shrubland",37.3833351135254,-110.508331298828,1497,23.033332824707,19.7075004577637,20.9616661071777,26.5750007629395,0.425000190734863,-14.7497367916596,201.089996337891,924.181579589844,0.327475272384523,0.17432204869619,0.220520558425078,0.180677458643913,0.20228898525238,74.4599990844727,121
"Colorado Plateau Mixed Low Sagebrush Shrubland",36.1916656494141,-110.083335876465,1803,20.2610000610352,16.8236675262451,18.5991668701172,23.7350006103516,-0.284999847412109,-16.5478453765662,253.440002441406,835.576843261719,0.419154308229342,0.201272555391891,0.290389922953973,0.225040450692177,0.263807594776154,94.3700008392334,149
"Colorado Plateau Pinyon-Juniper Shrubland",37.6666679382324,-111.033332824707,1689,19.9324989318848,19.9324989318848,19.9324989318848,25.3299999237061,0.0500001907348633,-14.9941384761628,216.759994506836,842.490295410156,0.257284825664166,0.257284825664166,0.257284825664166,0.20463527739048,0.231484830379486,85.9300003051758,1
"Colorado Plateau Pinyon-Juniper Woodland",37.9749984741211,-109.125,2045,19.0828327178955,13.9616662979126,16.3983345031738,21.4950008392334,-2.22499990463257,-19.307484548164,363.350006103516,723.984436035156,0.731257294574837,0.33099901667443,0.500330761479998,0.333480298519135,0.386983811855316,121.009998321533,1065
"Columbia Basin Foothill and Canyon Dry Grassland",46.0583343505859,-116.887500762939,823,17.5449161529541,14.5986667633057,15.3258328437805,20.1875,-1.35750007629395,-19.9599895090905,499.005004882812,625.748413085938,0.926161834104893,0.581016250365369,0.76747980398832,0.434056416153908,0.451691657304764,147.314998626709,18
"Columbia Basin Palouse Prairie",46.375,-117.541664123535,852,15.4424999237061,14.3411670684814,14.4291667938232,19.1399993896484,-1.04999995231628,-19.7811532357903,599.789978027344,600.953918457031,1.06361638627515,0.934210622010303,1.04528498977262,0.511070609092712,0.483795821666718,143.369358062744,3
"Columbia Plateau Low Sagebrush Steppe",43.9333343505859,-116.974998474121,1508,15.1328336715698,10.1581666946411,12.3649997711182,16.9850006103516,-2.68499994277954,-21.7570584675454,365.660003662109,604.573608398438,1.14101113026461,0.42921604784451,0.635129524202196,0.388427644968033,0.334747195243835,102.459999084473,47
"Columbia Plateau Scabland Shrubland",46.8666648864746,-119.833335876465,760,16.7724990844727,12.9358329772949,15.0833330154419,19.6599998474121,-2.14499998092651,-19.8094140236466,353.489990234375,642.9951171875,0.762887216457161,0.375301042660122,0.542545708903349,0.351720988750458,0.300077259540558,86.6632785797119,91
"Columbia Plateau Steppe and Grassland",46.2625007629395,-119.183334350586,654,17.7665830612183,14.2518330574036,15.9562497138977,20.6575002670288,-1.22250008583069,-19.0669670279046,328.065002441406,689.006958007812,0.761904653751704,0.345571191299012,0.474881865004592,0.321979597210884,0.265945851802826,84.3909769058228,1078
"Columbia Plateau Western Juniper Woodland and Savanna",42.3583316802979,-120.799999237061,1394.5,15.0783338546753,13.121666431427,14.0116662979126,18.585000038147,-0.984999895095825,-17.7487308670227,396.235000610352,654.913116455078,0.831458316263201,0.456493411903654,0.600678006212693,0.375264152884483,0.311443626880646,97.7138662338257,146
"Crosstimbers Oak Forest and Woodland",34.591667175293,-97.0833358764648,277,25.0516662597656,22.9245838165283,23.7066669464111,27.8899993896484,4.58999967575073,-13.0191045997037,978.044982910156,936.747985839844,1.24361516774129,0.768600141555817,1.05460011768227,0.513287246227264,0.834049142897129,300.282920837402,944
"East Cascades Mesic Montane Mixed-Conifer Forest and Woodland",46.3041667938232,-121.320831298828,1050,14.6924996376038,10.6275000572205,12.4216661453247,16.6499996185303,-1.875,-17.5519775132539,984.054992675781,502.880920410156,3.63325326207904,1.12308049184761,1.93525124254671,0.659313261508942,0.432540982961655,112.214259147644,136
"East Cascades Oak-Ponderosa Pine Forest and Woodland",44.375,-122.833335876465,358,16.9145004272461,15.2136661529541,16.0141658782959,19.4799995422363,4.21500015258789,-8.07066589718912,991.299987792969,687.281799316406,1.74024812714543,0.622048597823742,1.42163926190458,0.587056577205658,0.469760894775391,153.642124176025,43
"East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest",34.0708332061768,-89.0999984741211,120.5,24.4979995727539,22.6669994354248,23.2062501907349,26.8299999237061,5.14000010490417,-12.0545795415067,1438.26501464844,914.579528808594,1.62510141126113,1.34761540762345,1.58359343008493,0.612942188978195,0.923432338982821,332.928302764893,282
"East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland",31.1083335876465,-85.5625,68,25.2016658782959,23.9304161071777,24.7404165267944,27.4449996948242,9.46250009536743,-8.63023708519021,1396.89501953125,1043.20275878906,1.57774494660932,1.17503781316497,1.36565450686909,0.577284008264542,0.94417198933661,384.362552642822,1406
"East Gulf Coastal Plain Limestone Forest",35.0999984741211,-89.5250015258789,91,23.5850006103516,22.9021671295166,23.093334197998,27.0650005340576,4.15999984741211,-12.8802494914026,1372.48999023438,875.922119140625,1.61077874725794,1.52254611334295,1.55638701195388,0.60882294178009,0.883885003626347,316.746452331543,5
