"taxon","model","seed","AUCtrain","AUCtest","maxKappatrain","maxKappatest"
"Acer","GBM",6190,0.8451830336,0.8140147576,0.5168,0.45672
"Acer","MAXNET",6190,0.7756949288,0.7758190288,0.39684,0.40588
"Acer","GLM",6190,0.7618463528,0.762111712,0.3756,0.37496
"Acer","GAM",6960,0.7799035672,0.7767201824,0.40376,0.3942
"Acer","RF",6960,0.9999999864,0.863728872,0.99992,0.53568
"Acer","GBM",6960,0.8425647216,0.8078868992,0.51448,0.44592
"Acer","MAXNET",6960,0.7827437336,0.7772784,0.41848,0.41036
"Acer","GLM",6960,0.7593220344,0.7603281776,0.36896,0.3744
"Acer","GAM",8848,0.7814803304,0.7793389536,0.40672,0.4004
"Acer","RF",8848,0.9999949464,0.8667414432,0.9998,0.54544
"Acer","GBM",8848,0.8415531984,0.8108034056,0.50776,0.45364
"Acer","MAXNET",8848,0.7767910456,0.7762876672,0.39936,0.4032
"Acer","GLM",8848,0.7604106904,0.7629276608,0.37472,0.37608
"Betula","GAM",2037,0.8342750136,0.82792064,0.52788,0.52464
"Betula","RF",2037,0.9999986488,0.88362792,0.99988,0.61152
"Betula","GBM",2037,0.9039221192,0.8518581128,0.66268,0.5606
"Betula","MAXNET",2037,0.7971635224,0.787186184,0.4684,0.4642
"Betula","GLM",2037,0.822984068,0.8229272992,0.50676,0.51492
"Betula","GAM",4392,0.8348586984,0.824941,0.52668,0.50708
"Betula","RF",4392,0.99999966,0.8785732352,0.99988,0.60284
"Betula","GBM",4392,0.9064142712,0.8419385744,0.66188,0.5528
"Betula","MAXNET",4392,0.7875019928,0.7801939056,0.43476,0.42952
"Betula","GLM",4392,0.824596716,0.8197927968,0.51004,0.50492
"Betula","GAM",6190,0.8334190224,0.8264965232,0.5348,0.51216
"Betula","RF",6190,0.9999998064,0.8826265744,0.99992,0.62016
"Betula","GBM",6190,0.9044658632,0.8492184416,0.65764,0.55284
"Betula","MAXNET",6190,0.7848943424,0.7798918,0.43772,0.44996
"Betula","GLM",6190,0.8232788288,0.8227161376,0.511,0.50664
"Betula","GAM",6960,0.8324433832,0.827272808,0.52284,0.51668
"Betula","RF",6960,0.9999999704,0.8823111464,0.99996,0.61044
"Betula","GBM",6960,0.9061746192,0.8488330304,0.66244,0.55856
"Betula","MAXNET",6960,0.78499402,0.7749995552,0.4466,0.43516
"Betula","GLM",6960,0.821755156,0.8247107904,0.5118,0.51216
"Betula","GAM",8848,0.835039392,0.8218785552,0.53296,0.51
"Betula","RF",8848,0.9999997792,0.8823212768,0.99992,0.60492
"Betula","GBM",8848,0.9041397096,0.8464604456,0.6618,0.55664
"Betula","MAXNET",8848,0.8051013424,0.7887996992,0.46396,0.44396
"Betula","GLM",8848,0.8245052096,0.8162590384,0.50904,0.50948
"Carya","GAM",2037,0.886407424,0.8789268704,0.633,0.626
"Carya","RF",2037,1,0.9174737528,1,0.6728
"Carya","GBM",2037,0.933573168,0.892922604,0.731,0.6386
"Carya","MAXNET",2037,0.871327392,0.8674983824,0.59788,0.60128
"Carya","GLM",2037,0.863027984,0.8634733728,0.58644,0.59956
"Carya","GAM",4392,0.8869931904,0.8776917632,0.63068,0.60892
"Carya","RF",4392,1,0.9175916184,1,0.66884
"Carya","GBM",4392,0.933318376,0.8953424152,0.72688,0.62612
"Carya","MAXNET",4392,0.8622935824,0.8581184128,0.56632,0.5648
"Carya","GLM",4392,0.8654690848,0.8608888272,0.5852,0.58712
"Carya","GAM",6190,0.886031688,0.877731304,0.62912,0.61288
"Carya","RF",6190,1,0.9147575168,1,0.65984
"Carya","GBM",6190,0.9343209352,0.8938561696,0.72868,0.63384
"Carya","MAXNET",6190,0.8657870528,0.8578102752,0.5808,0.57424
"Carya","GLM",6190,0.863948792,0.85981224,0.58336,0.58096
"Carya","GAM",6960,0.88386576,0.8840864704,0.62608,0.61996
"Carya","RF",6960,1,0.9258492392,1,0.69584
"Carya","GBM",6960,0.9312259568,0.8996600512,0.72152,0.64828
"Carya","MAXNET",6960,0.858112728,0.8628631824,0.56992,0.57948
"Carya","GLM",6960,0.8623637088,0.865238928,0.5876,0.57792
"Carya","GAM",8848,0.8874667392,0.8789661456,0.635,0.61288
"Carya","RF",8848,1,0.9171563576,1,0.66548
"Carya","GBM",8848,0.936276796,0.8952751152,0.73664,0.63672
"Carya","MAXNET",8848,0.8657941776,0.8587777344,0.58216,0.56616
"Carya","GLM",8848,0.865748896,0.8562464512,0.58988,0.57656
"Fagus","GAM",2037,0.8156201768,0.8089296544,0.48988,0.473
"Fagus","RF",2037,0.9999972344,0.912152044,0.99952,0.6756
"Fagus","GBM",2037,0.8754852656,0.8528319384,0.5912,0.55852
"Fagus","MAXNET",2037,0.8216726344,0.814381424,0.49748,0.48992
"Fagus","GLM",2037,0.7836860072,0.7786508304,0.4378,0.42768
"Fagus","GAM",4392,0.8184856576,0.8104745608,0.49392,0.483
"Fagus","RF",4392,0.9999896352,0.908810708,0.99956,0.66732
"Fagus","GBM",4392,0.8764072112,0.8507823432,0.59868,0.55132
"Fagus","MAXNET",4392,0.8217207296,0.8138515672,0.50204,0.4894
"Fagus","GLM",4392,0.7868352032,0.7798171976,0.443,0.43368
"Fagus","GAM",6190,0.8146216424,0.8184391376,0.48716,0.49328
"Fagus","RF",6190,0.9999961,0.9143203152,0.99968,0.67516
"Fagus","GBM",6190,0.874507512,0.8583277544,0.59784,0.56784
"Fagus","MAXNET",6190,0.81680338,0.818708168,0.49548,0.49992
"Fagus","GLM",6190,0.781800572,0.7863450176,0.43716,0.44276
"Fagus","GAM",6960,0.8185677288,0.8069713536,0.4904,0.47288
"Fagus","RF",6960,0.99999994,0.907146568,0.99976,0.66108
"Fagus","GBM",6960,0.877921124,0.8491604288,0.60228,0.55404
"Fagus","MAXNET",6960,0.8224021432,0.8125100464,0.4976,0.48184
"Fagus","GLM",6960,0.7869883976,0.7772786304,0.44428,0.4322
"Fagus","GAM",8848,0.8170540128,0.8135365208,0.48776,0.48548
"Fagus","RF",8848,0.9999974704,0.9125975824,0.99968,0.66888
"Fagus","GBM",8848,0.8770394376,0.8586167416,0.6014,0.56716
"Fagus","MAXNET",8848,0.8188929312,0.8170812104,0.49336,0.49188
"Fagus","GLM",8848,0.785400624,0.780885252,0.43964,0.43512
"Fraxinus","GAM",2037,0.8096098336,0.808130248,0.47328,0.4744
"Fraxinus","RF",2037,0.9999994496,0.8873750512,0.99996,0.60824
"Fraxinus","GBM",2037,0.869083344,0.8319940872,0.57924,0.5078
"Fraxinus","MAXNET",2037,0.7950322768,0.7919556432,0.44948,0.44456
"Fraxinus","GLM",2037,0.7846857808,0.7842613808,0.43548,0.43904
"Fraxinus","GAM",4392,0.8053126136,0.8136497184,0.46192,0.4828
"Fraxinus","RF",4392,0.9999984552,0.89488944,0.99996,0.61916
"Fraxinus","GBM",4392,0.8675299624,0.840411908,0.57924,0.52568
"Fraxinus","MAXNET",4392,0.7903994968,0.797958224,0.43804,0.45148
"Fraxinus","GLM",4392,0.779976028,0.7927755424,0.42404,0.43696
"Fraxinus","GAM",6190,0.813429928,0.7959019624,0.48008,0.44648
"Fraxinus","RF",6190,0.9999996208,0.8765048112,0.99988,0.58752
"Fraxinus","GBM",6190,0.8733715056,0.8244387824,0.59244,0.5004
"Fraxinus","MAXNET",6190,0.7963774112,0.7778774296,0.45192,0.42
"Fraxinus","GLM",6190,0.7903682336,0.773643404,0.4466,0.41424
"Fraxinus","GAM",6960,0.8164149072,0.8091756176,0.4864,0.47408
"Fraxinus","RF",6960,0.9999991296,0.8820590056,0.99988,0.59292
"Fraxinus","GBM",6960,0.8741231328,0.8327542848,0.59792,0.516
"Fraxinus","MAXNET",6960,0.8063662704,0.7974977744,0.46404,0.45452
"Fraxinus","GLM",6960,0.7901743856,0.7887361088,0.4508,0.44536
"Fraxinus","GAM",8848,0.812651312,0.8046893712,0.47788,0.45684
"Fraxinus","RF",8848,1,0.885829216,1,0.59268
"Fraxinus","GBM",8848,0.8718401784,0.8341497704,0.59052,0.51472
"Fraxinus","MAXNET",8848,0.7982587888,0.7884680432,0.45772,0.44544
"Fraxinus","GLM",8848,0.7875755264,0.7814949152,0.4412,0.42468
"Larix","GAM",2037,0.90519028,0.9021690368,0.6746,0.67888
"Larix","RF",2037,0.9999990752,0.9573941576,0.99992,0.7866
"Larix","GBM",2037,0.946049692,0.9212681208,0.76864,0.712
"Larix","MAXNET",2037,0.8853898512,0.8822371456,0.62988,0.62788
"Larix","GLM",2037,0.88973364,0.891165296,0.64184,0.659
"Larix","GAM",4392,0.9049450496,0.9058787984,0.67892,0.68432
"Larix","RF",4392,0.999999952,0.9592712984,0.99992,0.78624
