dataset,tname,Level2,Species
SEMI,syc,Platanus,Platanus
SEMI,Syc.,Platanus,Platanus
SEMI,Sycamore,Platanus,Platanus
SEMI,sychimore,Platanus,Platanus
SEMI,sycmore,Platanus,Platanus
SEMI,Sycr.,Platanus,Platanus
SMI,SYC,Platanus,Platanus
WI,YS,Platanus,Platanus
IL,Tulip poplar,PopLirio,Liriodendron
IL,w wood,PopLirio,Liriodendron
IL,w. wood,PopLirio,Liriodendron
IN,Tulip poplar,PopLirio,Liriodendron
IN,w wood,PopLirio,Liriodendron
IN,w. wood,PopLirio,Liriodendron
IN,W.wood,PopLirio,Liriodendron
IN,white wood,PopLirio,Liriodendron
IN,whitewood,PopLirio,Liriodendron
SEMI,Tulip poplar,PopLirio,Liriodendron
SEMI,whitewood,PopLirio,Liriodendron
SMI,wtwd,PopLirio,Liriodendron
SMI,ww,PopLirio,Liriodendron
IL,Poplar,PopLirio,PopLirio
IL,Poplar/tulip poplar,PopLirio,PopLirio
IL,popler,PopLirio,PopLirio
IL,popplar,PopLirio,PopLirio
IL,w poplar,PopLirio,PopLirio
IN,pop,PopLirio,PopLirio
IN,Popl,PopLirio,PopLirio
IN,Poplar,PopLirio,PopLirio
IN,Poplar/tulip poplar,PopLirio,PopLirio
IN,Popr,PopLirio,PopLirio
IN,popular,PopLirio,PopLirio
OH,poplar,PopLirio,PopLirio
SEMI,Poplar,PopLirio,PopLirio
SEMI,Poplar/tulip poplar,PopLirio,PopLirio
SEMI,Poplr,PopLirio,PopLirio
SMI,POP,PopLirio,PopLirio
SMI,POPL,PopLirio,PopLirio
SMI,poplar,PopLirio,PopLirio
SMI,popular,PopLirio,PopLirio
IL,popple,PopLirio,Populus
IN,Black poplar,PopLirio,Populus
IN,North poplar,PopLirio,Populus
NMI,Poplar,PopLirio,Populus
WI,WJ,PopLirio,Populus
WI,WW,PopLirio,Populus
NMI,BG,PopLirio,Populus balsamifera
WI,BG,PopLirio,Populus balsamifera
IL,cotenwood,PopLirio,Populus deltoides
IL,coten-wood,PopLirio,Populus deltoides
IL,coton wood,PopLirio,Populus deltoides
IL,cotonwood,PopLirio,Populus deltoides
IL,cottenwood,PopLirio,Populus deltoides
IL,cotton,PopLirio,Populus deltoides
IL,cotton tree,PopLirio,Populus deltoides
IL,cotton wood,PopLirio,Populus deltoides
IL,cotton wood tree,PopLirio,Populus deltoides
IL,cottonwood,PopLirio,Populus deltoides
IN,cotton,PopLirio,Populus deltoides
IN,Cotton tree,PopLirio,Populus deltoides
IN,cottond,PopLirio,Populus deltoides
IN,Cottontree,PopLirio,Populus deltoides
IN,cottonw,PopLirio,Populus deltoides
IN,cottonwd,PopLirio,Populus deltoides
IN,Cottonwood,PopLirio,Populus deltoides
IN,Cottowd,PopLirio,Populus deltoides
NMI,CO,PopLirio,Populus deltoides
OH,cottonwood,PopLirio,Populus deltoides
SEMI,cotton,PopLirio,Populus deltoides
SEMI,Cotton Tree,PopLirio,Populus deltoides
SEMI,cotton wood,PopLirio,Populus deltoides
SEMI,Cottond,PopLirio,Populus deltoides
SEMI,Cottond.,PopLirio,Populus deltoides
SEMI,Cottonwood,PopLirio,Populus deltoides
SMI,cot,PopLirio,Populus deltoides
SMI,COTN,PopLirio,Populus deltoides
WI,CO,PopLirio,Populus deltoides
IL,asp,PopLirio,Populus tremuloides
IL,aspen,PopLirio,Populus tremuloides
IL,aspin,PopLirio,Populus tremuloides
IL,quakeing asp,PopLirio,Populus tremuloides
IL,quaking asp,PopLirio,Populus tremuloides
IN,apsen,PopLirio,Populus tremuloides
IN,Aspen,PopLirio,Populus tremuloides
IN,aspen or quaking asp,PopLirio,Populus tremuloides
IN,aspentree,PopLirio,Populus tremuloides
IN,Aspin,PopLirio,Populus tremuloides
IN,Q ash,PopLirio,Populus tremuloides
IN,Q. ash,PopLirio,Populus tremuloides
IN,Quaking ash,PopLirio,Populus tremuloides
IN,quaking asp,PopLirio,Populus tremuloides
IN,quaking aspen,PopLirio,Populus tremuloides
NMI,AS,PopLirio,Populus tremuloides
NMI,asp,PopLirio,Populus tremuloides
OH,aspen,PopLirio,Populus tremuloides
OH,trembling aspen,PopLirio,Populus tremuloides
SEMI,aspan,PopLirio,Populus tremuloides
SEMI,aspen,PopLirio,Populus tremuloides
SEMI,aspin,PopLirio,Populus tremuloides
SMI,asg,PopLirio,Populus tremuloides
SMI,asp,PopLirio,Populus tremuloides
SMI,aspen,PopLirio,Populus tremuloides
SMI,q.asp,PopLirio,Populus tremuloides
SMI,qasp,PopLirio,Populus tremuloides
WI,AS,PopLirio,Populus tremuloides
IN,Cherry bush,Prunus,Prunus
WI,RC,Prunus,Prunus
IL,b cherry,Prunus,Prunus serotina
IL,black cherry,Prunus,Prunus serotina
IL,cherritree,Prunus,Prunus serotina
IL,Cherry,Prunus,Prunus serotina
IL,cherry tree,Prunus,Prunus serotina
IL,cherrytree,Prunus,Prunus serotina
IL,chirry tree,Prunus,Prunus serotina
IL,s. cherry,Prunus,Prunus serotina
IL,wild cherry,Prunus,Prunus serotina
IN,B Cherry,Prunus,Prunus serotina
IN,black cherry,Prunus,Prunus serotina
IN,Cherry,Prunus,Prunus serotina
IN,cherry tree,Prunus,Prunus serotina
IN,Cherrytree,Prunus,Prunus serotina
IN,chery,Prunus,Prunus serotina
IN,forked cherry,Prunus,Prunus serotina
IN,s. cherry,Prunus,Prunus serotina
IN,w cherry,Prunus,Prunus serotina
IN,wild cherry,Prunus,Prunus serotina
NMI,CH,Prunus,Prunus serotina
NMI,Cherry,Prunus,Prunus serotina
OH,cherry,Prunus,Prunus serotina
SEMI,cherritree,Prunus,Prunus serotina
SEMI,Cherry,Prunus,Prunus serotina
SEMI,cherry tree,Prunus,Prunus serotina
SEMI,cherrytree,Prunus,Prunus serotina
SMI,b ch,Prunus,Prunus serotina
SMI,BCHER,Prunus,Prunus serotina
SMI,chcr,Prunus,Prunus serotina
SMI,CHER,Prunus,Prunus serotina
WI,CH,Prunus,Prunus serotina
IL,88888 o,Quercus,Quercus
IL,88888 oak,Quercus,Quercus
IL,b o,Quercus,Quercus
IL,b oa,Quercus,Quercus
IL,b oak,Quercus,Quercus
IL,b oak bush,Quercus,Quercus
IL,b oak sapling,Quercus,Quercus
IL,b ok,Quercus,Quercus
IL,b oke,Quercus,Quercus
IL,b. o,Quercus,Quercus
IL,b. o.,Quercus,Quercus
IL,b. oak,Quercus,Quercus
IL,b. oak bush,Quercus,Quercus
IL,b.o,Quercus,Quercus
IL,b.o.,Quercus,Quercus
IL,black or red oak,Quercus,Quercus
IL,bo,Quercus,Quercus
IL,bo bush,Quercus,Quercus
IL,bo.,Quercus,Quercus
IL,boak,Quercus,Quercus
IL,double b oak,Quercus,Quercus
IL,double oak,Quercus,Quercus
IL,double pin oak,Quercus,Quercus
IL,forked b oak,Quercus,Quercus
IL,forked bo,Quercus,Quercus
IL,forked pin oak,Quercus,Quercus
IL,g oak,Quercus,Quercus
IL,lonely p oak,Quercus,Quercus
IL,m oak,Quercus,Quercus
IL,Oak,Quercus,Quercus
IL,ok,Quercus,Quercus
IL,p o,Quercus,Quercus
IL,p oak,Quercus,Quercus
IL,p. oak,Quercus,Quercus
IL,p.o,Quercus,Quercus
IL,p.o.,Quercus,Quercus
IL,pin,Quercus,Quercus
IL,pin o,Quercus,Quercus
IL,pin o.,Quercus,Quercus
IL,pin oak,Quercus,Quercus
IL,pin ok,Quercus,Quercus
IL,po,Quercus,Quercus
IL,po.,Quercus,Quercus
IL,r or b oak,Quercus,Quercus
IL,red pin oak,Quercus,Quercus
IL,s oak,Quercus,Quercus
IL,s. oak,Quercus,Quercus
IL,s.o.,Quercus,Quercus
IL,scrub oak,Quercus,Quercus
IL,scrubb oak,Quercus,Quercus
IL,scrubby oak,Quercus,Quercus
IL,so,Quercus,Quercus
IL,swamp w oak,Quercus,Quercus
IL,turkey oak,Quercus,Quercus
IL,water oak,Quercus,Quercus
IL,willow oak,Quercus,Quercus
IN,88888 oak,Quercus,Quercus
IN,b o,Quercus,Quercus
IN,b oak,Quercus,Quercus
IN,b oak bush,Quercus,Quercus
IN,b ok,Quercus,Quercus
IN,B. O,Quercus,Quercus
IN,B. O.,Quercus,Quercus
IN,B. Oak,Quercus,Quercus
IN,B.Oak,Quercus,Quercus
IN,black or yellow oak,Quercus,Quercus
IN,boak,Quercus,Quercus
IN,Double P oak,Quercus,Quercus
IN,Fkd B. Oak,Quercus,Quercus
IN,forked b oak,Quercus,Quercus
IN,g oak,Quercus,Quercus
IN,J. Oak,Quercus,Quercus
IN,J? oak,Quercus,Quercus
IN,Oak,Quercus,Quercus
IN,p oak,Quercus,Quercus
IN,P. Oak,Quercus,Quercus
IN,p.oak,Quercus,Quercus
IN,pigeon oak,Quercus,Quercus
IN,pin oak,Quercus,Quercus
IN,pin or r oak,Quercus,Quercus
IN,pinoak,Quercus,Quercus
IN,s oak,Quercus,Quercus
IN,s. oak,Quercus,Quercus
IN,s.oak,Quercus,Quercus
IN,s___ oak,Quercus,Quercus
IN,sand oak,Quercus,Quercus
IN,scrub oak,Quercus,Quercus
IN,shrub oak,Quercus,Quercus
IN,Solitary Oak,Quercus,Quercus
IN,sweet oak,Quercus,Quercus
IN,water oak,Quercus,Quercus
NMI,BO,Quercus,Quercus
NMI,JO,Quercus,Quercus
NMI,OA,Quercus,Quercus
NMI,oak,Quercus,Quercus
NMI,UO,Quercus,Quercus
OH,jack oak,Quercus,Quercus
OH,oak,Quercus,Quercus
OH,pin oak,Quercus,Quercus
SEMI,B O,Quercus,Quercus
SEMI,b oak,Quercus,Quercus
SEMI,B. O.,Quercus,Quercus
SEMI,B.O,Quercus,Quercus
SEMI,B.O.,Quercus,Quercus
SEMI,bo,Quercus,Quercus
SEMI,Double BO,Quercus,Quercus
SEMI,jk. oak,Quercus,Quercus
SEMI,Oak,Quercus,Quercus
SMI,BO,Quercus,Quercus
SMI,jack oak,Quercus,Quercus
SMI,o,Quercus,Quercus
SMI,OAK,Quercus,Quercus
SMI,ord,Quercus,Quercus
SMI,pin,Quercus,Quercus
SMI,pin oak,Quercus,Quercus
SMI,pino,Quercus,Quercus
SMI,scrub oak,Quercus,Quercus
SMI,soak,Quercus,Quercus
WI,BO,Quercus,Quercus
WI,JO,Quercus,Quercus
WI,LJ,Quercus,Quercus
WI,OA,Quercus,Quercus
WI,SO,Quercus,Quercus
WI,TO,Quercus,Quercus
WI,UO,Quercus,Quercus
IL,double w oak,Quercus,Quercus alba
IL,double white oak,Quercus,Quercus alba
IL,double wo,Quercus,Quercus alba
IL,forked w oak,Quercus,Quercus alba
IL,forked white oak,Quercus,Quercus alba
IL,forked wo,Quercus,Quercus alba
IL,w  o,Quercus,Quercus alba
IL,w (slightly covered by finger) oak,Quercus,Quercus alba
IL,w o,Quercus,Quercus alba
IL,w o.,Quercus,Quercus alba
IL,w oak,Quercus,Quercus alba
IL,w oaks,Quercus,Quercus alba
IL,w ok,Quercus,Quercus alba
IL,w oke,Quercus,Quercus alba
IL,w. o.,Quercus,Quercus alba
IL,w. oak,Quercus,Quercus alba
IL,w.o,Quercus,Quercus alba
IL,w.o.,Quercus,Quercus alba
IL,wh. oak,Quercus,Quercus alba
IL,whi oak,Quercus,Quercus alba
IL,whit oak,Quercus,Quercus alba
IL,white o,Quercus,Quercus alba
IL,white o.,Quercus,Quercus alba
IL,white oak,Quercus,Quercus alba
IL,whoak,Quercus,Quercus alba
IL,wo,Quercus,Quercus alba
IL,wo.,Quercus,Quercus alba
IL,woak,Quercus,Quercus alba
IL,wok,Quercus,Quercus alba
IN,Dead white oak,Quercus,Quercus alba
IN,double w oak,Quercus,Quercus alba
IN,Double W. Oak,Quercus,Quercus alba
IN,dry w oak,Quercus,Quercus alba
IN,Fkd W oak,Quercus,Quercus alba
IN,Fked W Oak,Quercus,Quercus alba
IN,Post W. Oak,Quercus,Quercus alba
IN,scrubby wh oak,Quercus,Quercus alba
IN,W O,Quercus,Quercus alba
IN,w oak,Quercus,Quercus alba
IN,W Oak stump,Quercus,Quercus alba
IN,w ok,Quercus,Quercus alba
IN,W. O.,Quercus,Quercus alba
IN,w. oak,Quercus,Quercus alba
IN,W.O.,Quercus,Quercus alba
IN,W.Oak,Quercus,Quercus alba
IN,Wh Oak,Quercus,Quercus alba
IN,wh ok,Quercus,Quercus alba
IN,wh. o,Quercus,Quercus alba
IN,wh. oak,Quercus,Quercus alba
IN,white o,Quercus,Quercus alba
IN,white oak,Quercus,Quercus alba
IN,wht o,Quercus,Quercus alba
IN,wo,Quercus,Quercus alba
NMI,WO,Quercus,Quercus alba
OH,white oak,Quercus,Quercus alba
SEMI,double wo,Quercus,Quercus alba
SEMI,W O,Quercus,Quercus alba
SEMI,W O.,Quercus,Quercus alba
SEMI,w oak,Quercus,Quercus alba
SEMI,W. O,Quercus,Quercus alba
SEMI,W. O.,Quercus,Quercus alba
SEMI,W. Oak,Quercus,Quercus alba
SEMI,W.O,Quercus,Quercus alba
SEMI,W.O.,Quercus,Quercus alba
SEMI,white o,Quercus,Quercus alba
SEMI,wo,Quercus,Quercus alba
SMI,dblwo,Quercus,Quercus alba
SMI,w0,Quercus,Quercus alba
SMI,WO,Quercus,Quercus alba
SMI,woak,Quercus,Quercus alba
WI,WO,Quercus,Quercus alba
IL,swamp oak,Quercus,Quercus bicolor
IN,swamp oak,Quercus,Quercus bicolor
IN,swp oak,Quercus,Quercus bicolor
IN,Swp. Oak,Quercus,Quercus bicolor
OH,swamp oak,Quercus,Quercus bicolor
SEMI,swamp oak,Quercus,Quercus bicolor
SMI,SWO,Quercus,Quercus bicolor
WI,SW,Quercus,Quercus bicolor
IL,sp oak,Quercus,Quercus falcata
IL,sp. oak,Quercus,Quercus falcata
IL,span o,Quercus,Quercus falcata
IL,span oak,Quercus,Quercus falcata
IL,span. oak,Quercus,Quercus falcata
IL,spanis oak,Quercus,Quercus falcata
IL,spanish o,Quercus,Quercus falcata
IL,spanish oak,Quercus,Quercus falcata
IL,span-oak,Quercus,Quercus falcata
IL,sph o,Quercus,Quercus falcata
IL,spn o,Quercus,Quercus falcata
IN,sp oak,Quercus,Quercus falcata
IN,Sp. Oak,Quercus,Quercus falcata
IN,spa oak,Quercus,Quercus falcata
IN,Span Oak,Quercus,Quercus falcata
IN,Span. Oak,Quercus,Quercus falcata
IN,spanish oak,Quercus,Quercus falcata
IN,sph oak,Quercus,Quercus falcata
IN,spn. oak,Quercus,Quercus falcata
OH,spanish oak,Quercus,Quercus falcata
OH,shingle oak,Quercus,Quercus imbricaria
IL,cup oak,Quercus,Quercus lyrata
IL,o cup oak,Quercus,Quercus lyrata
IL,o oak,Quercus,Quercus lyrata
IL,o. cup oak,Quercus,Quercus lyrata
IL,o. oak,Quercus,Quercus lyrata
IL,ocp oak,Quercus,Quercus lyrata
IL,ocup oak,Quercus,Quercus lyrata
IL,over cup,Quercus,Quercus lyrata
IL,over cup oak,Quercus,Quercus lyrata
IL,overcup,Quercus,Quercus lyrata
IL,overcup o,Quercus,Quercus lyrata
IL,overcup oak,Quercus,Quercus lyrata
IL,br oak,Quercus,Quercus macrocarpa
IL,bu[r] oak,Quercus,Quercus macrocarpa
IL,bur,Quercus,Quercus macrocarpa
IL,bur o,Quercus,Quercus macrocarpa
IL,bur oak,Quercus,Quercus macrocarpa
IL,burr,Quercus,Quercus macrocarpa
IL,burr  oak,Quercus,Quercus macrocarpa
IL,burr o,Quercus,Quercus macrocarpa
IL,burr o.,Quercus,Quercus macrocarpa
IL,burr oak,Quercus,Quercus macrocarpa
IL,burr oke,Quercus,Quercus macrocarpa
IL,double bur oak,Quercus,Quercus macrocarpa
IL,double burr oak,Quercus,Quercus macrocarpa
IL,forked bur oak,Quercus,Quercus macrocarpa
IL,forked burr oak,Quercus,Quercus macrocarpa
IN,br oak,Quercus,Quercus macrocarpa
IN,br. oak,Quercus,Quercus macrocarpa
IN,bur oak,Quercus,Quercus macrocarpa
IN,Bur. O.,Quercus,Quercus macrocarpa
IN,burr o,Quercus,Quercus macrocarpa
IN,burr o.,Quercus,Quercus macrocarpa
IN,burr oak,Quercus,Quercus macrocarpa
IN,burroak,Quercus,Quercus macrocarpa
IN,dbl br oak,Quercus,Quercus macrocarpa
IN,Double br oak,Quercus,Quercus macrocarpa
OH,bur oak,Quercus,Quercus macrocarpa
SMI,BUR,Quercus,Quercus macrocarpa
SMI,BURO,Quercus,Quercus macrocarpa
WI,PK,Quercus,Quercus macrocarpa
IL,b jack,Quercus,Quercus marilandica
IL,b jack bush,Quercus,Quercus marilandica
IL,b jack oak,Quercus,Quercus marilandica
IL,b jak,Quercus,Quercus marilandica
IL,b. jack,Quercus,Quercus marilandica
IL,bj,Quercus,Quercus marilandica
IL,bj oak,Quercus,Quercus marilandica
IL,bl jack oak,Quercus,Quercus marilandica
IL,black jack,Quercus,Quercus marilandica
IL,blackjack,Quercus,Quercus marilandica
IL,blk jack,Quercus,Quercus marilandica
IL,blk. jack,Quercus,Quercus marilandica
IL,double b jack,Quercus,Quercus marilandica
IL,j oak,Quercus,Quercus marilandica
IL,jack,Quercus,Quercus marilandica
IL,jack o,Quercus,Quercus marilandica
IL,jack oak,Quercus,Quercus marilandica
IL,jo,Quercus,Quercus marilandica
IN,B jack,Quercus,Quercus marilandica
IN,B. Jack,Quercus,Quercus marilandica
IN,BJack,Quercus,Quercus marilandica
IN,bl jack,Quercus,Quercus marilandica
IN,black jack,Quercus,Quercus marilandica
IN,blk jack,Quercus,Quercus marilandica
IN,j oak,Quercus,Quercus marilandica
IN,jack oak,Quercus,Quercus marilandica
OH,black jack,Quercus,Quercus marilandica
OH,jack oak,Quercus,Quercus marilandica
SMI,jack,Quercus,Quercus marilandica
IL,c oak,Quercus,Quercus montana
IL,chesn oak,Quercus,Quercus montana
IL,chesnut oak,Quercus,Quercus montana
IN,C Oak,Quercus,Quercus montana
IN,C. Oak,Quercus,Quercus montana
IN,Ches Oak,Quercus,Quercus montana
IN,ches. oak,Quercus,Quercus montana
IN,Chesnut Oak,Quercus,Quercus montana
IN,chest oak,Quercus,Quercus montana
IN,Chest. Oak,Quercus,Quercus montana
IN,Chestnut Oak,Quercus,Quercus montana
OH,chestnut oak,Quercus,Quercus montana
IL,yellow oak,Quercus,Quercus muehlenbergii
IN,double y oak,Quercus,Quercus muehlenbergii
IN,y oak,Quercus,Quercus muehlenbergii
IN,Y. Oak,Quercus,Quercus muehlenbergii
IN,yellow oak,Quercus,Quercus muehlenbergii
OH,yellow oak,Quercus,Quercus muehlenbergii
SMI,YO,Quercus,Quercus muehlenbergii
SMI,yoak,Quercus,Quercus muehlenbergii
SMI,yohk,Quercus,Quercus muehlenbergii
IL,r o,Quercus,Quercus rubra
IL,r oack,Quercus,Quercus rubra
IL,r oak,Quercus,Quercus rubra
IL,r ok,Quercus,Quercus rubra
IL,r. oak,Quercus,Quercus rubra
IL,r.o.,Quercus,Quercus rubra
IL,rd oak,Quercus,Quercus rubra
IL,red o,Quercus,Quercus rubra
IL,red o.,Quercus,Quercus rubra
IL,red oak,Quercus,Quercus rubra
IL,red ok,Quercus,Quercus rubra
IL,red. oak,Quercus,Quercus rubra
IL,ro,Quercus,Quercus rubra
IL,ro oak,Quercus,Quercus rubra
IL,ro: oak,Quercus,Quercus rubra
IL,roak,Quercus,Quercus rubra
IN,double r oak,Quercus,Quercus rubra
IN,dry r oak,Quercus,Quercus rubra
IN,forked r oak,Quercus,Quercus rubra
IN,forked r. oak,Quercus,Quercus rubra
IN,R Oak,Quercus,Quercus rubra
IN,R. Oak,Quercus,Quercus rubra
IN,rd oak,Quercus,Quercus rubra
IN,red o,Quercus,Quercus rubra
IN,red oak,Quercus,Quercus rubra
IN,red ok,Quercus,Quercus rubra
NMI,RO,Quercus,Quercus rubra
OH,red oak,Quercus,Quercus rubra
SEMI,R O,Quercus,Quercus rubra
SEMI,r oak,Quercus,Quercus rubra
SEMI,R.O.,Quercus,Quercus rubra
SEMI,red o,Quercus,Quercus rubra
SEMI,red ok,Quercus,Quercus rubra
SEMI,ro,Quercus,Quercus rubra
SMI,ro,Quercus,Quercus rubra
WI,RO,Quercus,Quercus rubra
IL,post,Quercus,Quercus stellata
IL,post o,Quercus,Quercus stellata
IL,post o.,Quercus,Quercus stellata
IL,post oak,Quercus,Quercus stellata
IL,post ok,Quercus,Quercus stellata
IL,post oke,Quercus,Quercus stellata
IN,post oak,Quercus,Quercus stellata
OH,post oak,Quercus,Quercus stellata
IL,bk o,Quercus,Quercus velutina
IL,bk oak,Quercus,Quercus velutina
IL,bl oak,Quercus,Quercus velutina
IL,black o,Quercus,Quercus velutina
IL,black o.,Quercus,Quercus velutina
IL,black oak,Quercus,Quercus velutina
IL,black oak stump,Quercus,Quercus velutina
IL,blak oak,Quercus,Quercus velutina
IL,blck oak,Quercus,Quercus velutina
IL,blk o,Quercus,Quercus velutina
IL,blk oak,Quercus,Quercus velutina
IL,blk. oak,Quercus,Quercus velutina
IL,double black oak,Quercus,Quercus velutina
IL,forked black oak,Quercus,Quercus velutina
IL,swamp black oak,Quercus,Quercus velutina
IN,bk oak,Quercus,Quercus velutina
IN,bl oak,Quercus,Quercus velutina
IN,bl ok,Quercus,Quercus velutina
IN,Bl. Oak,Quercus,Quercus velutina
IN,Black Oak,Quercus,Quercus velutina
IN,Black Oak Tree,Quercus,Quercus velutina
IN,black ok,Quercus,Quercus velutina
IN,blk O,Quercus,Quercus velutina
IN,Blk Oak,Quercus,Quercus velutina
IN,Blk. Oak,Quercus,Quercus velutina
IN,forked bl oak,Quercus,Quercus velutina
OH,black oak,Quercus,Quercus velutina
WI,LO,Quercus,Quercus velutina
IN,Sumack,Rhus,Rhus
IL,h locus,RobiniaGleditsia,Gleditsia
IL,h locust,RobiniaGleditsia,Gleditsia
IL,h. locus,RobiniaGleditsia,Gleditsia
IL,h. locust,RobiniaGleditsia,Gleditsia
IL,honey locis,RobiniaGleditsia,Gleditsia
IL,honey locus,RobiniaGleditsia,Gleditsia
IL,honey locust,RobiniaGleditsia,Gleditsia
IL,honeylocust,RobiniaGleditsia,Gleditsia
IL,honey-locust,RobiniaGleditsia,Gleditsia
IL,hony locust,RobiniaGleditsia,Gleditsia
IN,h locust,RobiniaGleditsia,Gleditsia
IN,H. Locust,RobiniaGleditsia,Gleditsia
IN,hon locust,RobiniaGleditsia,Gleditsia
IN,Hon. Locust,RobiniaGleditsia,Gleditsia
IN,Honey Locus,RobiniaGleditsia,Gleditsia
IN,honey locust,RobiniaGleditsia,Gleditsia
OH,honey locust,RobiniaGleditsia,Gleditsia
IL,b locust,RobiniaGleditsia,Robinia
IN,black locust,RobiniaGleditsia,Robinia
OH,black locust,RobiniaGleditsia,Robinia
IL,locas,RobiniaGleditsia,RobiniaGleditsia
IL,locu,RobiniaGleditsia,RobiniaGleditsia
IL,locus,RobiniaGleditsia,RobiniaGleditsia
IL,Locust,RobiniaGleditsia,RobiniaGleditsia
IL,locust tree,RobiniaGleditsia,RobiniaGleditsia
IL,yel. locust,RobiniaGleditsia,RobiniaGleditsia
IN,Locust,RobiniaGleditsia,RobiniaGleditsia
IN,Red Locust,RobiniaGleditsia,RobiniaGleditsia
OH,locust,RobiniaGleditsia,RobiniaGleditsia
SEMI,Locust,RobiniaGleditsia,RobiniaGleditsia
NMI,BD,rock,rock
WI,BD,rock,rock
IL,swamp willow,Salix,Salix
IL,Willow,Salix,Salix
IN,Red willow,Salix,Salix
IN,Small Willow,Salix,Salix
IN,swamp willow,Salix,Salix
IN,Water Willow,Salix,Salix
IN,Willow,Salix,Salix
IN,Willow thicket,Salix,Salix
NMI,WI,Salix,Salix
OH,willow,Salix,Salix
SEMI,Willow,Salix,Salix
SMI,wil,Salix,Salix
WI,KW,Salix,Salix
WI,OW,Salix,Salix
WI,RW,Salix,Salix
WI,WI,Salix,Salix
WI,WV,Salix,Salix
WI,YW,Salix,Salix
IL,safrfras,Sassafras,Sassafras
IL,safsafras,Sassafras,Sassafras
IL,safsafrass,Sassafras,Sassafras
IL,sasafras,Sassafras,Sassafras
IL,sasafrass,Sassafras,Sassafras
IL,sasasfras,Sassafras,Sassafras
IL,sasfras,Sassafras,Sassafras
IL,sass,Sassafras,Sassafras
IL,sassafra,Sassafras,Sassafras
IL,sassafras,Sassafras,Sassafras
IL,sassafras tree,Sassafras,Sassafras
IL,sassafrass,Sassafras,Sassafras
IL,sassfrass,Sassafras,Sassafras
IN,safafrafs,Sassafras,Sassafras
IN,Safsafras,Sassafras,Sassafras
IN,Sapafas,Sassafras,Sassafras
IN,Sapafrap,Sassafras,Sassafras
IN,sapafras,Sassafras,Sassafras
IN,Sapapap,Sassafras,Sassafras
IN,sapapas,Sassafras,Sassafras
IN,sapapras,Sassafras,Sassafras
IN,Sasafras,Sassafras,Sassafras
IN,sasafrass,Sassafras,Sassafras
IN,sasfras,Sassafras,Sassafras
IN,Sassafras,Sassafras,Sassafras
IN,sassafrass,Sassafras,Sassafras
IN,Sassfrass,Sassafras,Sassafras
OH,sassafras,Sassafras,Sassafras
SEMI,Safsafras,Sassafras,Sassafras
SEMI,sasafras,Sassafras,Sassafras
SEMI,sassafras,Sassafras,Sassafras
SMI,sas,Sassafras,Sassafras
WI,MT,Sorbus,Sorbus
IL,Bald cypress,Taxodium,Taxodium
IL,cypress,Taxodium,Taxodium
IL,cypress tree,Taxodium,Taxodium
IL,siprus,Taxodium,Taxodium
NMI,WC,Thuja,Thuja
WI,WC,Thuja,Thuja
IL,Basswood,Tilia,Tilia
IL,double lin tree,Tilia,Tilia
IL,forked lynn,Tilia,Tilia
IL,lin,Tilia,Tilia
IL,lin tree,Tilia,Tilia
IL,linden,Tilia,Tilia
IL,linn,Tilia,Tilia
IL,ly,Tilia,Tilia
IL,lyme,Tilia,Tilia
IL,lyn,Tilia,Tilia
IL,lynn,Tilia,Tilia
IL,lynn tree,Tilia,Tilia
IN,Basswood,Tilia,Tilia
IN,forked lynn,Tilia,Tilia
IN,linn,Tilia,Tilia
IN,Lyme,Tilia,Tilia
IN,Lynn,Tilia,Tilia
IN,lynn tree,Tilia,Tilia
IN,lynne,Tilia,Tilia
IN,Lynntree,Tilia,Tilia
IN,lynnwood,Tilia,Tilia
IN,red lin,Tilia,Tilia
IN,s lynn,Tilia,Tilia
NMI,LI,Tilia,Tilia
NMI,lyn,Tilia,Tilia
OH,basswood,Tilia,Tilia
OH,linden,Tilia,Tilia
OH,lynn,Tilia,Tilia
SEMI,Basswood,Tilia,Tilia
SEMI,lind,Tilia,Tilia
SEMI,linn,Tilia,Tilia
SEMI,lynn,Tilia,Tilia
SEMI,Lynne,Tilia,Tilia
SMI,BASS,Tilia,Tilia
SMI,lin,Tilia,Tilia
SMI,LYN,Tilia,Tilia
WI,BP,Tilia,Tilia
WI,LI,Tilia,Tilia
IN,Hemlock,Tsuga,Tsuga
NMI,HE,Tsuga,Tsuga
NMI,hem,Tsuga,Tsuga
OH,hemlock,Tsuga,Tsuga
SMI,hcm,Tsuga,Tsuga
SMI,heem,Tsuga,Tsuga
SMI,HEM,Tsuga,Tsuga
SMI,her,Tsuga,Tsuga
SMI,HM,Tsuga,Tsuga
WI,HE,Tsuga,Tsuga
WI,HM,Tsuga,Tsuga
IL,allim,Ulmus,Ulmus
IL,elleim,Ulmus,Ulmus
IL,ellem,Ulmus,Ulmus
IL,ellim,Ulmus,Ulmus
IL,ellum,Ulmus,Ulmus
IL,Elm,Ulmus,Ulmus
IL,elm sapling,Ulmus,Ulmus
IL,elm tree,Ulmus,Ulmus
IL,elmn,Ulmus,Ulmus
IL,r elm,Ulmus,Ulmus
IL,r. elm,Ulmus,Ulmus
IL,red elm,Ulmus,Ulmus
IL,red haw,Ulmus,Ulmus
IL,s elm,Ulmus,Ulmus
IL,s. elm,Ulmus,Ulmus
