"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Pinus","Tsuga","Fagus","Acer","Tilia","Carya","Quercus","Ulmus","Fraxinus","Larix","Thuja","Picea","Abies","PopLirio","Betula","Aesculus","Alnus","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Juglans","Morus","NyssaLiquidambar","OstryaCarpinus","Platanus","Prunus","RobiniaGleditsia","Salix","Sassafras","rarea"
"94AB wet euic mucky plains","MIXED CONIFER SWAMP","94AB","wet","euic","mucky","plains",1160,51.1,12.3,7.3,1.8,2.4,0.2,0,0.3,0.2,3.3,29.9,23.2,8.9,2.3,2.7,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,45.5
"94C moist euic mucky plains","JACK PINE-RED PINE FOREST","94C","moist","euic","mucky","plains",6,4.8,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"94AB moist typic loamy plains","CEDAR SWAMP","94AB","moist","typic","loamy","plains",307,16.7,7.8,11.4,6.8,3.3,0.7,0,0.3,1,1.6,12.7,34.5,2.9,5.5,4.9,6.2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6
"94AB moist typic clayey plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","typic","clayey","plains",441,30.4,5.2,24.7,33.8,15.9,1.6,0,0.2,0.9,4.5,1.6,3.6,0.7,0.7,0.9,4.8,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,31.4
"94AB dry spodic sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","spodic","sandy","plains",404,15.6,83.2,1.2,0.2,1,0,0,3.2,0,0.2,1.7,3.5,2.5,0.2,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,14.1
"94C dry typic alluvial floodplain","WHITE PINE-MIXED HARDWOOD FOREST","94C","dry","typic","alluvial","floodplain",2,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94AB moist euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","euic","sandy","plains",156,15.1,7.1,23.7,25.6,9,0.6,0,0.6,0,1.9,1.3,13.5,2.6,0.6,3.8,7.7,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.6,0,0,0,14.7
"94AB dry typic sandy plains","MIXED CONIFER SWAMP","94AB","dry","typic","sandy","plains",119,1.1,35.3,2.5,1.7,2.5,0,0,2.5,0,2.5,23.5,6.7,5.9,2.5,7.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
"94C wet euic sandy plains","SPRUCE-FIR-CEDAR FOREST","94C","wet","euic","sandy","plains",14,4,7.1,7.1,0,14.3,0,0,0,0,7.1,0,21.4,7.1,0,7.1,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"94AB moist dysic sandy plains","MIXED HARDWOOD SWAMP","94AB","moist","dysic","sandy","plains",36,1.5,25,11.1,8.3,11.1,0,0,0,0,0,2.8,0,0,2.8,25,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
"94C dry super spodic sandy plains","MIXED CONIFER SWAMP","94C","dry","super spodic","sandy","plains",6,3.8,0,0,0,0,0,0,0,0,16.7,50,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
"94C dry spodic sandy slopes","JACK PINE-RED PINE FOREST","94C","dry","spodic","sandy","slopes",4,7.7,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9
"94C dry typic loamy plains","SPRUCE-FIR-CEDAR FOREST","94C","dry","typic","loamy","plains",34,4.4,17.6,5.9,20.6,2.9,0,0,0,0,5.9,2.9,23.5,0,11.8,2.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
"94AB wet typic clayey plains","CEDAR SWAMP","94AB","wet","typic","clayey","plains",54,12.9,13,7.4,1.9,1.9,0,0,0,0,7.4,11.1,35.2,1.9,7.4,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,6.4
"94AB moist dysic sandy plains","JACK PINE-RED PINE FOREST","94AB","moist","dysic","sandy","plains",320,13.7,81.2,0.3,0.6,2.5,0,0,1.6,0,0.6,3.4,1.2,0.9,1.6,3.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,13.2
"94AB wet euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","wet","euic","sandy","plains",29,6.1,3.4,27.6,20.7,10.3,3.4,0,0,0,0,3.4,6.9,3.4,3.4,10.3,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
"94C wet typic alluvial floodplain","BLACK ASH SWAMP","94C","wet","typic","alluvial","floodplain",6,5,0,0,33.3,0,0,0,0,0,16.7,0,16.7,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,6
"94C dry super spodic sandy plains","ASPEN-BIRCH FOREST","94C","dry","super spodic","sandy","plains",4,2.6,25,0,0,0,0,0,25,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
"94C dry typic loamy plains","EXPOSED BEDROCK","94C","dry","typic","loamy","plains",2,0.3,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94AB dry spodic sandy slopes","JACK PINE-RED PINE FOREST","94AB","dry","spodic","sandy","slopes",29,12.9,69,0,0,3.4,0,0,13.8,0,0,6.9,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
"94AB dry typic sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","typic","sandy","plains",4706,44.5,91.1,0.3,0.2,0.3,0.1,0,3.3,0,0,0.6,0.8,0.6,0.1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1
"94C dry typic clayey plains","MIXED CONIFER SWAMP","94C","dry","typic","clayey","plains",13,10.2,15.4,0,7.7,0,0,0,0,7.7,7.7,0,23.1,7.7,7.7,7.7,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"94C dry typic alluvial floodplain","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","dry","typic","alluvial","floodplain",6,15.4,0,16.7,66.7,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2
"94C wet dysic mucky plains","SHRUB SWAMP/EMERGENT MARSH","94C","wet","dysic","mucky","plains",13,22,7.7,0,15.4,0,0,0,0,0,15.4,30.8,15.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"94AB wet typic clayey plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","wet","typic","clayey","plains",20,4.8,5,20,25,5,0,0,0,5,0,0,10,5,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
"94C wet euic mucky plains","WHITE PINE-RED PINE FOREST","94C","wet","euic","mucky","plains",6,0.5,16.7,0,16.7,0,0,0,0,0,0,0,0,0,0,16.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
"94C moist typic loamy plains","JACK PINE-RED PINE FOREST","94C","moist","typic","loamy","plains",6,0.6,66.7,0,0,0,0,0,0,0,0,0,0,16.7,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"94C wet dysic sandy plains","JACK PINE-RED PINE FOREST","94C","wet","dysic","sandy","plains",2,11.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94AB moist euic mucky plains","CEDAR SWAMP","94AB","moist","euic","mucky","plains",77,19,20.8,15.6,7.8,3.9,0,0,0,0,2.6,9.1,26,3.9,1.3,5.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2
"94C wet typic clayey plains","JACK PINE-RED PINE FOREST","94C","wet","typic","clayey","plains",2,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"94AB moist euic sandy plains","JACK PINE-RED PINE FOREST","94AB","moist","euic","sandy","plains",95,9.2,61.1,1.1,1.1,1.1,0,0,4.2,0,1.1,4.2,3.2,3.2,1.1,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3
"94C wet euic mucky plains","SPRUCE-FIR-CEDAR FOREST","94C","wet","euic","mucky","plains",21,1.9,19,23.8,4.8,0,0,0,0,0,0,0,33.3,0,0,4.8,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"94AB moist typic alluvial floodplain","MUSKEG/BOG","94AB","moist","typic","alluvial","floodplain",4,1.7,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94C wet typic loamy plains","WHITE PINE-RED PINE FOREST","94C","wet","typic","loamy","plains",2,0.5,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
"94AB wet euic mucky plains","MIXED HARDWOOD SWAMP","94AB","wet","euic","mucky","plains",19,0.8,10.5,0,0,26.3,0,0,0,5.3,10.5,15.8,0,0,0,26.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94C moist typic clayey plains","SPRUCE-FIR-CEDAR FOREST","94C","moist","typic","clayey","plains",82,20,15.9,20.7,4.9,8.5,1.2,0,0,1.2,4.9,1.2,26.8,1.2,3.7,1.2,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4
"94C wet dysic mucky plains","MIXED CONIFER SWAMP","94C","wet","dysic","mucky","plains",9,15.3,44.4,0,0,0,0,0,0,0,0,22.2,22.2,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1
"94C dry typic mucky plains","CEDAR SWAMP","94C","dry","typic","mucky","plains",8,40,0,0,0,0,0,0,0,0,0,12.5,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3
"94AB dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","rich","sandy","plains",285,31.6,7.7,20.4,43.9,17.2,1.4,0,0.7,0,0.4,0,1.8,0.7,0.4,1.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,29.6
"94C wet typic clayey plains","SPRUCE-FIR-CEDAR FOREST","94C","wet","typic","clayey","plains",18,6.9,0,11.1,0,0,0,0,0,0,5.6,0,38.9,5.6,33.3,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"94AB moist typic clayey plains","CEDAR SWAMP","94AB","moist","typic","clayey","plains",253,17.4,3.2,18.6,4.3,5.1,1.2,0,0.4,0.4,2.4,7.1,35.2,2.8,6.3,6.7,5.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"94C wet typic alluvial floodplain","CEDAR SWAMP","94C","wet","typic","alluvial","floodplain",49,41.2,2,4.1,0,4.1,0,0,0,4.1,20.4,18.4,42.9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"94AB wet euic sandy plains","CEDAR SWAMP","94AB","wet","euic","sandy","plains",130,27.4,9.2,8.5,2.3,3.8,0.8,0,0,0,3.8,13.1,40.8,2.3,3.1,4.6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5
"94C moist euic mucky plains","MIXED CONIFER SWAMP","94C","moist","euic","mucky","plains",24,19.2,25,0,0,0,0,0,0,0,0,41.7,20.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1
"94AB wet typic alluvial floodplain","MUSKEG/BOG","94AB","wet","typic","alluvial","floodplain",4,1.2,0,25,0,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
"94C wet typic loamy plains","LAKE/RIVER","94C","wet","typic","loamy","plains",6,1.6,0,0,33.3,33.3,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
"94C dry spodic sandy slopes","CEDAR SWAMP","94C","dry","spodic","sandy","slopes",2,3.8,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
"94C moist typic clayey plains","WHITE PINE-RED PINE FOREST","94C","moist","typic","clayey","plains",6,1.5,16.7,0,0,50,0,0,0,0,0,0,0,0,16.7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
"94C wet euic mucky plains","MUSKEG/BOG","94C","wet","euic","mucky","plains",2,0.2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
"94AB dry typic loamy plains","ASPEN-BIRCH FOREST","94AB","dry","typic","loamy","plains",16,0.9,12.5,12.5,0,0,0,0,6.2,0,0,0,12.5,6.2,0,31.2,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"94AB moist euic sandy plains","CEDAR SWAMP","94AB","moist","euic","sandy","plains",177,17.1,9.6,13,3.4,3.4,0.6,0,1.1,1.1,1.7,13.6,35.6,2.8,5.1,5.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6
"94AB moist typic clayey plains","MIXED CONIFER SWAMP","94AB","moist","typic","clayey","plains",99,6.8,19.2,18.2,8.1,5.1,1,0,0,1,4,11.1,21.2,0,5.1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.1
"94C wet typic alluvial floodplain","SHRUB SWAMP/EMERGENT MARSH","94C","wet","typic","alluvial","floodplain",4,3.4,0,0,0,0,0,0,0,25,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"94C moist euic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","moist","euic","mucky","plains",27,21.6,7.4,25.9,14.8,3.7,3.7,0,0,0,0,7.4,22.2,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,12.2
"94AB wet typic clayey plains","MIXED CONIFER SWAMP","94AB","wet","typic","clayey","plains",150,36,10,4,0.7,2.7,0.7,0,0,0.7,7.3,38,21.3,3.3,2.7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,13.2
"94AB moist typic alluvial floodplain","MIXED CONIFER SWAMP","94AB","moist","typic","alluvial","floodplain",40,16.7,40,12.5,2.5,7.5,0,0,0,0,5,12.5,12.5,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"94AB moist typic alluvial floodplain","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","typic","alluvial","floodplain",23,9.6,8.7,47.8,8.7,4.3,4.3,0,0,8.7,0,0,8.7,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7
"94AB dry typic alluvial floodplain","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","typic","alluvial","floodplain",47,26.7,8.5,27.7,27.7,14.9,0,0,0,4.3,2.1,4.3,4.3,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7
"94AB moist dysic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","moist","dysic","sandy","plains",384,16.5,22.7,35.2,8.6,6,0.3,0,1.3,0.5,4.7,3.6,6,1.8,1.8,2.6,4.4,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,19
"94AB moist typic alluvial floodplain","HEMLOCK-WHITE PINE FOREST","94AB","moist","typic","alluvial","floodplain",22,9.2,27.3,18.2,13.6,13.6,0,0,0,9.1,0,0,9.1,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
"94AB dry spodic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","dry","spodic","sandy","plains",304,11.7,28.9,32.2,17.8,6.2,1,0,2.6,0.7,1.6,0.3,3.9,0.7,0.7,2.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7
"94AB moist dysic sandy plains","MIXED CONIFER SWAMP","94AB","moist","dysic","sandy","plains",288,12.3,18.8,12.2,3.5,3.8,0,0,0,0,4.9,19.4,14.2,8.7,2.4,5.2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"94C wet typic clayey slopes","SHRUB SWAMP/EMERGENT MARSH","94C","wet","typic","clayey","slopes",2,12.5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94AB dry typic alluvial floodplain","SHRUB SWAMP/EMERGENT MARSH","94AB","dry","typic","alluvial","floodplain",8,4.5,25,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94AB dry typic sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","typic","sandy","plains",2219,21,77.2,2.6,3.6,2.4,0,0,5.9,0,0.1,1.1,1,0.4,0.5,3.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,21.8
"94AB dry spodic sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","spodic","sandy","plains",769,29.6,68.7,4.9,6.8,4.4,0.1,0,3.1,0.1,0.3,1,2.3,1.3,0.7,3.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,31.4
"94C dry super spodic sandy plains","CEDAR SWAMP","94C","dry","super spodic","sandy","plains",13,8.3,0,23.1,0,0,0,0,0,0,0,15.4,53.8,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
"94AB dry spodic sandy plains","CEDAR SWAMP","94AB","dry","spodic","sandy","plains",55,2.1,21.8,10.9,1.8,1.8,0,0,1.8,0,3.6,7.3,38.2,3.6,3.6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"94AB moist typic clayey plains","HEMLOCK-WHITE PINE FOREST","94AB","moist","typic","clayey","plains",387,26.6,12.1,28.7,16,15,0.5,0,0.3,2.3,5.2,3.6,5.2,1,3.1,2.3,4.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5
"94C moist typic clayey slopes","WHITE PINE-RED PINE FOREST","94C","moist","typic","clayey","slopes",2,50,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94C moist typic loamy plains","EXPOSED BEDROCK","94C","moist","typic","loamy","plains",4,0.4,0,0,75,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"94C dry spodic sandy slopes","SHRUB SWAMP/EMERGENT MARSH","94C","dry","spodic","sandy","slopes",2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94C wet euic mucky plains","SHRUB SWAMP/EMERGENT MARSH","94C","wet","euic","mucky","plains",20,1.8,20,5,20,0,0,0,0,0,0,20,15,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
"94C moist euic mucky plains","HEMLOCK-WHITE PINE FOREST","94C","moist","euic","mucky","plains",4,3.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"94C moist euic mucky plains","SHRUB SWAMP/EMERGENT MARSH","94C","moist","euic","mucky","plains",4,3.2,0,25,0,0,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"94C dry rich sandy plains","SPRUCE-FIR-CEDAR FOREST","94C","dry","rich","sandy","plains",23,6.9,8.7,8.7,0,4.3,0,0,0,0,0,0,56.5,4.3,8.7,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
"94C moist typic clayey plains","MIXED CONIFER SWAMP","94C","moist","typic","clayey","plains",30,7.3,10,0,3.3,0,0,0,0,6.7,3.3,20,26.7,0,0,26.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
"94C dry typic clayey plains","CEDAR SWAMP","94C","dry","typic","clayey","plains",29,22.8,0,10.3,0,0,0,0,0,0,3.4,0,65.5,0,10.3,3.4,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3
"94AB dry typic loamy plains","WHITE PINE-RED PINE FOREST","94AB","dry","typic","loamy","plains",196,11.5,57.7,9.7,7.7,6.6,0,0,7.7,0,0.5,2.6,3.1,0,0.5,1.5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
"94AB wet dysic mucky plains","MIXED CONIFER SWAMP","94AB","wet","dysic","mucky","plains",144,56.9,24.3,4.2,0,1.4,0,0,0,0,0.7,34.7,9,21.5,2.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6
"94AB dry rich sandy plains","CEDAR SWAMP","94AB","dry","rich","sandy","plains",35,3.9,11.4,22.9,0,2.9,2.9,0,0,0,0,0,31.4,2.9,8.6,2.9,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"94AB wet typic alluvial floodplain","CEDAR SWAMP","94AB","wet","typic","alluvial","floodplain",128,36.9,15.6,9.4,6.2,2.3,0,0,1.6,1.6,2.3,11.7,28.9,4.7,4.7,2.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,30
"94C dry typic mucky plains","MIXED CONIFER SWAMP","94C","dry","typic","mucky","plains",2,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
"94AB moist euic sandy plains","MIXED CONIFER SWAMP","94AB","moist","euic","sandy","plains",222,21.4,15.3,9.9,2.7,5.4,0,0,0.5,0.9,5.9,22.1,15.3,6.3,5.4,5,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9
"94AB wet typic clayey plains","SHRUB SWAMP/EMERGENT MARSH","94AB","wet","typic","clayey","plains",20,4.8,15,15,0,0,0,0,0,5,10,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
"94C moist dysic mucky plains","MIXED CONIFER SWAMP","94C","moist","dysic","mucky","plains",4,66.7,50,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"94AB dry typic alluvial floodplain","JACK PINE-RED PINE FOREST","94AB","dry","typic","alluvial","floodplain",30,17,83.3,0,0,0,0,0,0,0,6.7,0,3.3,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6
"94C moist euic sandy plains","JACK PINE-RED PINE FOREST","94C","moist","euic","sandy","plains",6,1.3,83.3,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"94AB dry rich sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","rich","sandy","plains",178,19.7,91.6,1.1,0,1.1,0,0,1.7,0,0,0.6,0,0,0,2.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1
"94C dry typic loamy plains","LAKE/RIVER","94C","dry","typic","loamy","plains",2,0.3,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"94AB moist typic clayey plains","WHITE PINE-RED PINE FOREST","94AB","moist","typic","clayey","plains",42,2.9,42.9,4.8,16.7,4.8,0,0,7.1,0,0,0,7.1,2.4,2.4,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,1.2
"94C wet dysic mucky plains","CEDAR SWAMP","94C","wet","dysic","mucky","plains",16,27.1,6.2,6.2,0,0,0,0,0,0,0,31.2,37.5,0,0,6.2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
"94AB dry spodic sandy plains","MIXED CONIFER SWAMP","94AB","dry","spodic","sandy","plains",33,1.3,33.3,9.1,0,3,0,0,0,0,3,15.2,9.1,9.1,12.1,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
"94AB moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","dysic","sandy","plains",378,16.2,7.4,31.5,26.5,14.8,0.3,0,0.3,0.8,1.6,2.4,6.3,0,1.3,2.6,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
"94AB dry rich sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","rich","sandy","plains",212,23.5,64.6,4.7,2.8,4.7,0.5,0,8,0,0,1.4,0.9,0.5,0.5,9.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8
"94C moist typic loamy plains","SHRUB SWAMP/EMERGENT MARSH","94C","moist","typic","loamy","plains",8,0.8,25,25,0,0,0,0,0,0,0,0,37.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
"94C moist typic alluvial floodplain","SPRUCE-FIR-CEDAR FOREST","94C","moist","typic","alluvial","floodplain",6,9.1,0,16.7,16.7,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"94C wet euic mucky plains","JACK PINE-RED PINE FOREST","94C","wet","euic","mucky","plains",3,0.3,0,0,0,0,0,0,0,0,0,66.7,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"94AB dry super spodic sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","super spodic","sandy","plains",8,5.7,62.5,0,0,0,0,0,0,0,0,0,0,25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7
"94AB wet euic mucky plains","JACK PINE-RED PINE FOREST","94AB","wet","euic","mucky","plains",56,2.5,44.6,1.8,0,0,0,0,1.8,0,1.8,12.5,12.5,5.4,3.6,3.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
"94AB wet typic clayey plains","LAKE/RIVER","94AB","wet","typic","clayey","plains",94,22.5,23.4,4.3,8.5,0,0,0,8.5,3.2,1.1,17,10.6,7.4,1.1,6.4,7.4,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6
"94C dry typic loamy plains","JACK PINE-RED PINE FOREST","94C","dry","typic","loamy","plains",3,0.4,33.3,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
