Code,Description,Taxon,Domain
walnut,Walnut,,Southern MI v1.6
walnut,Walnut,,Southern MI_Detroit_ND_v1.0
Walnut,Walnut,,Southern MI_Detroit_ND_v1.0
Walnut,Walnut,,Upper Midwest
Walnut bush,Walnut,,Indiana v2.0
walt,Walnut,,Illinois v2.0
watt,Walnut,,Southern MI_Detroit_ND_v1.0
wh walnut,Walnut,,Indiana v2.0
Wh walnut,Walnut,,Indiana v2.0
Wh. Walnut,Walnut,,Indiana v2.0
white walnut,Walnut,,Illinois v2.0
white walnut,Walnut,,Indiana v2.0
White Walnut,Walnut,,Indiana v2.0
WWAL,Walnut,,Southern MI v1.6
wwal,Walnut,,Southern MI v1.6
wwalm,Walnut,,Southern MI v1.6
wwaln,Walnut,,Southern MI v1.6
wwrln,Walnut,,Southern MI v1.6
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,Northeast (1372)
,Walnut,,OH - vernacular from OH471 towns
,Walnut,,OH - vernacular from OH471 towns
,Walnut,,OH - vernacular from OH471 towns
,Walnut,,OH - vernacular from OH471 towns
,Walnut,,OH (471)
,Walnut,,OH (471)
,Walnut,,OH (471)
,Walnut,,OH (471)
,Walnut,,OH (471)
,Walnut,,OH (471)
QQ,Water,,Upper Midwest
SG,Water,,Upper Midwest
swamp,Water,,Southern MI v1.6
water,Water,,Illinois v2.0
Water,Water,,Illinois v2.0
water,Water,,Indiana v2.0
Water,Water,,Indiana v2.0
Water,Water,,Southern MI_Detroit_ND_v1.0
KW,Willow,,Upper Midwest
red willow,Willow,,Indiana v2.0
Red willow,Willow,,Indiana v2.0
RW,Willow,,Upper Midwest
Small Willow,Willow,,Indiana v2.0
swamp willow,Willow,,Illinois v2.0
swamp willow,Willow,,Indiana v2.0
Swamp Willow,Willow,,Indiana v2.0
Water Willow,Willow,,Indiana v2.0
WI,Willow,,Upper Midwest
WIL,Willow,,Southern MI v1.6
wil,Willow,,Southern MI v1.6
willow,Willow,,Illinois v2.0
willow,Willow,,Indiana v2.0
Willow,Willow,,Indiana v2.0
WIllow,Willow,,Indiana v2.0
WILLOW,Willow,,Indiana v2.0
willow,Willow,,Southern MI v1.6
willow,Willow,,Southern MI_Detroit_ND_v1.0
Willow,Willow,,Southern MI_Detroit_ND_v1.0
Willow,Willow,,Upper Midwest
Willow thicket,Willow,,Indiana v2.0
WV,Willow,,Upper Midwest
YW,Willow,,Upper Midwest
,Willow,,Northeast (1372)
,Willow,,OH - vernacular from OH471 towns
,Willow,,OH (471)
 remon,,,Ironwood
