"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"94AB dry typic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","dry","typic","sandy","plains",315,2.8,0.3,7,0,0,4.4,0,0,0,0,0,0,0,13,1,0,1.6,0,0,0,0.6,27.3,0,2.5,0,3.8,0,0,0,7.3,0.6,29.5,1
"94AB moist dysic sandy plains","WHITE PINE-RED PINE FOREST","94AB","moist","dysic","sandy","plains",460,19.7,0.4,5.7,0,0,5.7,0,0,0,0,0,0,0,5.4,1.5,0,5.2,0,0,0,2.4,53.9,0,7.6,0,3,0,0.2,0,4.1,0,4.8,0
"94AB dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","typic","sandy","plains",1049,9.3,0.7,13.5,0,0,3.1,0,0,0,0,0,0,0,36.3,0.5,0,0.9,0,0,0.6,0.6,16.2,0,2.1,0,2.1,0,0,0,2.3,0.6,20.5,0.2
"94AB wet euic sandy plains","MIXED CONIFER SWAMP","94AB","wet","euic","sandy","plains",175,36.8,1.7,4,0,0,7.4,0,0,0,0,0,0,0,1.7,6.3,0,22.9,0,0,0,4,16,0,8,0,0.6,0,0,0,19.4,0,7.4,0.6
"94AB dry typic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","94AB","dry","typic","sandy","plains",116,1,0,12.9,0,0,4.3,0,0,0,0,0,0,0,31,0.9,0,1.7,0,0,0,0.9,26.7,0,1.7,0,3.4,0,0,0,1.7,0,13.8,0.9
"94AB dry typic loamy plains","JACK PINE-RED PINE FOREST","94AB","dry","typic","loamy","plains",117,4.7,0.9,2.6,0,0,0.9,0,0,0,0,0,0,0,0.9,0.9,0,4.3,0,0,0,0.9,76.1,0,2.6,0,4.3,0,0,0,3.4,0,2.6,0
"94AB dry typic sandy plains","PINE BARRENS","94AB","dry","typic","sandy","plains",1218,10.8,0.2,0.1,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,94.9,0,1.1,0,2.5,0,0,0,0.2,0,0.1,0.1
"94AB moist euic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","moist","euic","sandy","plains",167,16.1,2.4,14.4,0,0,5.4,0,0,0,0,0,0,0,2.4,3,0,1.8,0,0,0,1.2,25.7,0,0.6,0,0.6,0,0,0,7.8,0,32.3,2.4
"94AB dry typic sandy plains","ASPEN-BIRCH FOREST","94AB","dry","typic","sandy","plains",166,1.5,1.8,2.4,0,0,17.5,0,0,0,0,0,0,0,2.4,1.2,0,1.8,0,0,0,0,22.9,0,42.2,0,1.2,0,0,0,1.8,0,4.8,0
"94AB moist euic mucky plains","MIXED CONIFER SWAMP","94AB","moist","euic","mucky","plains",137,33.5,2.2,5.1,0,0,3.6,0,0,0,0,0,0,0,4.4,3.6,0,14.6,0,0,0,5.8,29.2,0,3.6,0.7,0.7,0,0,0,15.3,0,9.5,1.5
"94AB dry typic sandy plains","OAK/PINE BARRENS","94AB","dry","typic","sandy","plains",210,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.5,0,1.4,0,17.1,0,0,0,0,0,0,0
"94AB moist typic loamy plains","ASPEN-BIRCH FOREST","94AB","moist","typic","loamy","plains",142,4.3,5.6,3.5,0,0,16.2,0,0,0,0,0,0,0,1.4,1.4,0,6.3,0,0,0,0,9.2,0,33.8,0,0.7,0,0,0,5.6,0,14.8,1.4
"94AB dry typic sandy plains","MIXED PINE-OAK FOREST","94AB","dry","typic","sandy","plains",525,4.7,0,3.6,0,0,0.6,0,0,0,0,0,0,0,3,0,0,0.6,0,0,0,0.2,68.2,0,2.5,0,20.2,0,0,0,0,0,1.1,0
"94AA dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","spodic","sandy","plains",5334,74.7,0.1,28.7,0,0,2.8,0,0,0,0,0,0,0,45.5,0.5,0,0.2,0,0,0.6,0.1,2.7,0,0.5,0.1,0.3,0,0,0,1.1,1.2,14,1.7
"94AA moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","moist","typic","loamy","plains",733,66,0.3,21,0,0,3.8,0,0,0,0,0,0,0,35.6,3.8,0,2,0,0,0.8,0.1,1.2,0,0,0,0.1,0,0,0,2.5,1.9,23.9,2.9
"94AA dry super spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","super spodic","sandy","plains",3839,95.5,0.1,33.4,0,0,4,0,0,0,0,0,0,0,41.4,0.5,0,0.2,0,0,0.6,0,0.8,0,0.3,0.4,0,0,0,0,0.8,1.9,13.1,2.4
"94AA dry spodic sandy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","spodic","sandy","slopes",481,83.4,0.2,31.8,0,0,2.1,0,0,0,0,0,0,0,42.6,0.8,0,0.2,0,0,0.2,0,1.9,0,1.2,0.4,0,0,0,0,2.1,1.7,12.9,1.9
"94AA dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","typic","sandy","plains",2022,59.5,0.1,27,0,0,2.4,0,0,0,0,0,0,0,43.8,0.5,0,0.3,0,0,1.1,0.2,3,0,0.6,0.4,0.5,0,0,0,1.1,1.9,15.8,1.2
"94AA dry super spodic sandy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","super spodic","sandy","slopes",294,98,0.7,25.9,0,0,4.4,0,0,0,0,0,0,0,44.9,0.3,0,0,0,0,0.7,0,0.3,0,0,0.3,0,0,0,0,3.7,1,16.7,1
"94AA dry spodic sandy plains","HEMLOCK-WHITE PINE FOREST","94AA","dry","spodic","sandy","plains",271,3.8,1.1,11.1,0,0,1.5,0,0,0,0,0,0,0,18.5,0.7,0,1.5,0,0,0,0.4,27.7,0,0.7,0,0.7,0,0,0,1.8,0.4,33.9,0
"94AA wet euic mucky plains","CEDAR SWAMP","94AA","wet","euic","mucky","plains",452,42.6,6.9,6.4,0,0.2,2.7,0,0,0,0,0,0,0,4.9,2.9,0,6.9,0,0,0,3.5,2.7,0,0,0,0,0,0,0,46.2,1.3,15.3,0.2
"94AA wet typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","wet","typic","loamy","plains",108,25.6,0,21.3,0,0,4.6,0,0,0,0,0,0,0,20.4,2.8,0,0.9,0,0,3.7,0,0.9,0,0,0.9,0,0,0,0,4.6,0.9,36.1,2.8
"94AA dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","typic","loamy","plains",3552,82.9,0.2,26.5,0,0,2.5,0,0,0,0,0,0,0,44,2,0,0.4,0,0,1,0.2,1.2,0,0.2,0.3,0.1,0,0,0,1.7,1.7,16,2.1
"94AA dry typic sandy plains","HEMLOCK-WHITE PINE FOREST","94AA","dry","typic","sandy","plains",198,5.8,1.5,6.6,0,0,4,0,0,0,0,0,0,0,18.7,0,0,0.5,0,0,0,0.5,24.7,0,1.5,0,2,0,0,0,3.5,0,33.3,3
"94AA dry spodic sandy plains","WHITE PINE-RED PINE FOREST","94AA","dry","spodic","sandy","plains",513,7.2,0.6,2.1,0,0,0.6,0,0,0,0,0,0,0,7.2,0.2,0,0.8,0,0,0,0.2,75.8,0,1,0,4.7,0,0,0,2.1,0,4.5,0.2
"94AA wet euic mucky plains","MIXED CONIFER SWAMP","94AA","wet","euic","mucky","plains",408,38.4,1.7,6.4,0,1,4.2,0,0,0,0,0,0,0,6.1,5.6,0,20.3,0,0,0.2,6.6,7.4,0,1.2,0.2,0.2,0,0,0,20.1,0.2,17.9,0.5
"94AA moist euic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","moist","euic","mucky","plains",120,36.1,0,14.2,0,1.7,6.7,0,0,0,0,0,0,0,22.5,2.5,0,0,0,0,0,0.8,4.2,0,0,0,0,0,0,0,11.7,0.8,34.2,0.8
"94AA moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","moist","dysic","sandy","plains",371,57.2,0.3,18.9,0,0,4.6,0,0,0,0,0,0,0,31.5,2.2,0,1.9,0,0,1.1,0.5,4,0.3,1.1,0,0,0,0,0,5.9,1.6,24.5,1.6
"94AA dry typic sandy plains","WHITE PINE-RED PINE FOREST","94AA","dry","typic","sandy","plains",192,5.7,0,4.7,0,0,0,0,0,0,0,0,0,0,10.4,1,0,0,0,0,0,0,71.4,0,0,0,4.2,0,0,0,0,0,8.3,0
"96A dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","typic","sandy","plains",404,71,0.5,20.3,0,0,3.5,0,0,0.5,0,0,0,0,46.8,0.7,0,0.7,0,0,0.2,0,3.7,0,0.5,0.5,1,0,0,0,3,2.2,14.1,1.7
"96A dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","rich","sandy","plains",401,81.3,0.2,23.9,0,0,2.7,0,0,0,0,0,0,0,47.4,1.7,0,0.2,0,0,0.2,0,1,0,0.7,0,0.2,0,0.2,0,1.7,3.5,13.5,2.5
"96A dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","spodic","sandy","plains",1223,83.3,0.1,32.3,0,0,1.8,0,0,0,0,0,0,0,43.9,1.4,0,0.6,0,0,0.4,0,1.1,0,0.1,0.1,0.2,0,0,0,1.6,1.6,12.6,2.3
"96A dry super spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","super spodic","sandy","plains",1538,95.3,0,32.2,0,0,1.8,0,0,0,0,0,0,0,45.8,1.1,0,0,0,0,0.9,0,0.8,0,0,0.1,0.3,0,0,0,1,0.9,13.2,1.8
"96A moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","moist","dysic","sandy","plains",150,58.4,2,14,0,0,4,0,0,0,0,0,0,0,36.7,3.3,0,0.7,0,0,0,0.7,2,0,0,0,0,0,0,0,4,0.7,30.7,1.3
"96A dry super spodic sandy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","super spodic","sandy","slopes",170,96.6,0,26.5,0,0,1.2,0,0,0,0,0,0,0,47.6,0.6,0,0,0,0,0.6,0,0,0,0,0,1.8,0,0,0,0,2.4,19.4,0
"96A dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","typic","loamy","plains",1390,92.5,0.1,28.7,0,0,2.9,0,0,0,0,0,0,0,46.3,1.9,0,0.2,0,0,0.4,0,0.1,0,0,0,0.1,0,0,0,3.2,2.4,10.4,3
"94AA moist euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","moist","euic","sandy","plains",124,40.4,0.8,12.1,0,0,5.6,0,0,0,0,0,0,0,38.7,0.8,0,0,0,0,1.6,0.8,4,0,0,0,0,0,0,0,1.6,0,32.3,1.6
"94AA dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","rich","sandy","plains",464,61.9,0,16.2,0,0.4,2.2,0.2,0,0,0,0,0,0.2,48.1,0.2,0,0.2,0,0,1.5,0.2,3.4,0,0.4,0,1.3,0,0,0,0.6,2.4,20.3,2.2
"96A moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","moist","typic","loamy","plains",138,63,1.4,24.6,0,0,8.7,0,0,0,0,0,0,0,35.5,2.9,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,5.1,1.4,14.5,4.3
"96A dry typic loamy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","typic","loamy","slopes",150,96.2,0.7,31.3,0,0,2,0,0,0,0,0,0,0,41.3,1.3,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1.3,1.3,15.3,4.7
"96A wet euic mucky plains","MIXED CONIFER SWAMP","96A","wet","euic","mucky","plains",123,34.6,3.3,7.3,0,0,1.6,0,0,0,0,0,0,0,8.9,9.8,0,8.1,0,0,0,4.9,3.3,0,1.6,0,0,0,0,0,31.7,0,17.9,1.6
"96A wet euic mucky plains","CEDAR SWAMP","96A","wet","euic","mucky","plains",169,47.5,3.6,4.7,0,0,5.3,0,0,0,0,0,0,0,1.8,6.5,0,7.7,0,0,0,0.6,4.1,0,0,0,0,0,0,0,47.9,0,17.8,0
"96A dry spodic sandy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96A","dry","spodic","sandy","slopes",188,97.9,0,34,0,0,0.5,0,0,0,0,0,0,0,42.6,2.1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.6,2.7,12.8,2.1
"94AA dry typic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","94AA","dry","typic","sandy","plains",709,20.9,0,11.7,0,0,0.7,0,0,0,0,0,0,0,42.5,0,0,0.6,0,0,0.8,0.3,28.8,0,1,0.1,5.5,0,0,0,0.3,0.1,7.5,0.1
"94AA dry spodic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","94AA","dry","spodic","sandy","plains",603,8.4,0.2,10.3,0,0,2,0,0,0,0,0,0,0,41.1,0.3,0,0.3,0,0,0.3,0,30.7,0,1.2,0,4.1,0,0,0,0.5,0.2,8.5,0.3
"94AA dry typic loamy plains","WHITE PINE-MIXED HARDWOOD FOREST","94AA","dry","typic","loamy","plains",318,7.4,0,14.5,0,0,0.3,0,0,0,0,0,0,0,49.1,1.3,0,3.1,0,0,0.6,0,15.4,0,0.3,0,2.2,0,0,0,0.3,0.3,11,1.6
"94AA dry rich sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","94AA","dry","rich","sandy","plains",226,30.1,0,15.5,0,0,0.4,0,0,0,0,0,0,0,57.5,0.4,0,0,0,0,2.2,0,12.4,0,0,0,2.7,0,0,0,0,0,8,0.9
"96B dry typic sandy plains","PINE BARRENS","96B","dry","typic","sandy","plains",222,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,87.8,0,0.9,0,10.8,0,0,0,0,0,0,0
"96B dry typic sandy plains","JACK PINE-RED PINE FOREST","96B","dry","typic","sandy","plains",702,13.9,0,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,85.9,0,1.4,0.3,11.5,0,0,0,0,0,0.1,0
"96B moist dysic sandy plains","HEMLOCK-WHITE PINE FOREST","96B","moist","dysic","sandy","plains",130,11.4,0,10,0,0,3.1,0,0,0,0,0,0,0,18.5,0,0,0,0,0.8,0,0,29.2,0,0.8,0,4.6,0,0,0,3.1,0,29.2,0.8
"94AA wet typic loamy plains","MIXED CONIFER SWAMP","94AA","wet","typic","loamy","plains",100,23.7,0,8,0,0,5,0,0,0,0,0,0,0,15,6,0,13,0,0,0,2,3,0,0,0,1,0,0,0,19,0,26,2
"94AA wet euic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","wet","euic","mucky","plains",118,11.1,0,16.9,0,0,1.7,0,0,0,0,0,0,0,14.4,5.9,0,5.1,0,0,0.8,0,1.7,0,1.7,0,0,0,0,0,18.6,0.8,31.4,0.8
"94AA dry typic loamy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AA","dry","typic","loamy","slopes",214,97.7,0.9,31.3,0,0,4.7,0,0,0,0,0,0,0,38.8,0.9,0,0.5,0,0,0.9,0.5,0,0,0,0,0,0,0,0,1.9,3.3,14,2.3
"98A dry typic loamy plains","WHITE PINE-WHITE OAK FOREST","98A","dry","typic","loamy","plains",201,1.3,0,17.9,0,0,0,0.5,0,0,0,0,0,0,7.5,4.5,0,1,0,0,1.5,0,24.9,0,0.5,1,38.3,0,0,0,0,0,0,2.5
"98A dry typic sandy plains","MIXED OAK SAVANNA","98A","dry","typic","sandy","plains",268,18.6,0,0.7,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,0,94.4,0,0,0,0,0,0,0
"97A dry typic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","97A","dry","typic","sandy","plains",287,19.9,0,5.2,0,0,0,0.3,0,0,0,0.3,0,0,34.1,2.4,0,0,0,0.7,0,0,35.9,0,0,0,18.1,0,0,0,0,0.3,2.1,0.3
"98A wet euic mucky plains","SHRUB SWAMP/EMERGENT MARSH","98A","wet","euic","mucky","plains",236,14.6,0,1.3,0,0.8,0,0.4,0,0,0,0,0,0,0.8,3,0,19.1,0,0.4,0,0,0.4,0,7.2,0.4,61,0,0.8,0,0,0,0.8,3.4
"98A dry rich sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","98A","dry","rich","sandy","plains",291,7.3,0,16.8,0,0,0.3,0,0,0,0,0,0,0,50.9,1,0,0.7,0,0,0.3,0,18.2,0,0.3,1.4,5.2,0,0,0,0,0.7,2.4,1.7
"98A dry typic loamy plains","MIXED OAK SAVANNA","98A","dry","typic","loamy","plains",3637,23.3,0,0.1,0,0,0,5.2,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0.1,0,0,0,0.4,0.1,93.4,0,0,0,0,0.1,0,0.3
"98A dry rich sandy plains","MIXED OAK SAVANNA","98A","dry","rich","sandy","plains",1015,25.5,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,96.9,0,0,0,0,0,0,0.1
"98A dry typic sandy plains","MIXED OAK FOREST","98A","dry","typic","sandy","plains",111,7.7,0,0,0,0,0,1.8,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,3.6,0,0,0,93.7,0,0,0,0,0,0,0
"98A dry rich sandy plains","BEECH-SUGAR MAPLE FOREST","98A","dry","rich","sandy","plains",295,7.4,0,13.9,0,0,0.7,1,0,0,0,0,0,0,44.1,4.4,1,0,0,0,3.7,0,4.4,0,2.4,0.7,15.3,0,0,0,0,3.7,0.7,4.1
"98A dry typic loamy plains","WHITE PINE-MIXED HARDWOOD FOREST","98A","dry","typic","loamy","plains",813,5.2,0,13.7,0,0,1.5,0,0,0,0,0,0.1,0,53.5,2.3,0.1,0.7,0,0,0.7,0,16.6,0,0.6,0.1,5.4,0,0,0,0,0.9,2.5,1.2
"98A dry typic loamy plains","MIXED CONIFER SWAMP","98A","dry","typic","loamy","plains",214,1.4,0,4.7,0,0,0.9,0,0,0,0,0,0,0,4.2,7.9,0,36.9,0,0,0.5,3.3,4.2,0.5,1.4,0.5,26.2,0,0.5,0,3.7,0.5,3.3,0.9
"98A dry typic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","98A","dry","typic","sandy","plains",262,18.1,0,9.2,0,0,0.8,0,0,0,0,0,0,0,50.8,1.9,0,0.4,0,0.4,0.8,0.4,25.2,0,0,0,6.5,0,0,0,0,1.5,1.9,0.4
"98A dry typic loamy plains","BEECH-SUGAR MAPLE FOREST","98A","dry","typic","loamy","plains",2604,16.7,0,17.5,0,0,0.4,1.2,0,0,0,0,0,0,49.7,6.3,0.6,0.1,0,0,3,0,0.6,0.1,1.2,0.7,9.6,0,0,0.2,0,4.1,0.6,4.1
"98A moist typic loamy plains","BEECH-SUGAR MAPLE FOREST","98A","moist","typic","loamy","plains",3456,55.3,0,20.2,0,0,0.4,1.6,0,0,0,0.1,0.1,0,44.8,8.9,0.1,0.1,0,0.1,2.7,0,0.3,0.1,0.8,0.7,6.4,0,0,0,0,6.1,0.5,6.1
"98A moist euic sandy plains","BEECH-SUGAR MAPLE FOREST","98A","moist","euic","sandy","plains",146,27.1,0,19.9,0,0,4.1,0,0,0,0,0,0,0,42.5,9.6,0.7,0,0,0,0,0,4.1,0,0.7,0,7.5,0,0,0,0,5.5,0.7,4.8
"97A dry typic sandy plains","BEECH-SUGAR MAPLE FOREST","97A","dry","typic","sandy","plains",225,15.6,0,17.3,0,0,1.3,0,0,0,0,0,0,0,56.4,1.8,0,0,0,0,1.3,0,2.2,0,0,0,4,0,0,0,0,2.7,9.8,3.1
"97A dry rich sandy plains","BEECH-SUGAR MAPLE FOREST","97A","dry","rich","sandy","plains",230,39.8,0,20.4,0,0,1.3,0,0,0,0,0,0,0,60.4,1.7,0.4,0,0,0,1.3,0,0.4,0,1.3,1.7,4.8,0,0,0,0,3,0.4,2.6
"98A wet euic mucky plains","MIXED HARDWOOD SWAMP","98A","wet","euic","mucky","plains",205,12.7,0,7.8,0,0,7.3,0.5,0,0,0,0,0,0,4.4,28.3,0.5,6.8,0,0,0.5,0,3.9,0,4.4,0.5,10.7,0,0,0,1.5,3.4,1,18.5
"97A dry typic sandy plains","WHITE PINE-WHITE OAK FOREST","97A","dry","typic","sandy","plains",378,26.2,0,0.8,0,0,0.5,0,0,0,0,0.3,0,0,0.8,0.3,0,0,0,0,0,0.8,51.6,0,2.1,0.3,41.5,0,0,0,0,0,1.1,0
"97A moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","97A","moist","dysic","sandy","plains",143,29.4,0,4.2,0,0,4.2,0,0,0,0,0,0,0,35,6.3,0,0,0,0,0,0,8.4,0.7,0,0,2.1,0,0,0,0,0,37.8,1.4
"97A dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","97A","dry","typic","sandy","plains",217,15,0,1.8,0,0,0,0,0,0,0,0,0,0,51.2,0.5,0,0,0,0.5,1.8,0,6.5,0,0,0,0.5,0,0,0,0,0.9,35.9,0.5
"97A moist dysic sandy plains","WHITE PINE-WHITE OAK FOREST","97A","moist","dysic","sandy","plains",113,23.2,0,2.7,0,0,0,0,0,0,0,0,0,0,6.2,2.7,0,0,0,0,0,1.8,42.5,0.9,0.9,0,38.1,0,0,0.9,0,0,3.5,0
"97A dry typic sandy plains","OAK/PINE BARRENS","97A","dry","typic","sandy","plains",158,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,0,0.6,0.6,45.6,0,0,0,0,0,0,0
"98A wet euic mucky plains","MIXED CONIFER SWAMP","98A","wet","euic","mucky","plains",576,35.7,0,2.8,0,0,1.2,0,0,0,0,0,0,0,1.7,7.1,0,67.7,0,0,0,2.1,2.1,0,0.7,0,6.2,0,0.2,0,2.1,0.5,2.6,3
"98A dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","98A","dry","typic","sandy","plains",114,7.9,0,9.6,0,0,0,0,0,0,0,0,0,0,38.6,2.6,0,3.5,0,0,0.9,0,15.8,0,0,0,0.9,0,0,0,0,2.6,24.6,0.9
"98A moist euic mucky plains","MIXED CONIFER SWAMP","98A","moist","euic","mucky","plains",150,22.5,0,2,0,0,3.3,0.7,0,0,0,0,0,0,2.7,6,0,49.3,0,0,0.7,2.7,3.3,0,2,0,20.7,0,1.3,0,0,0.7,3.3,1.3
"98A dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","98A","dry","rich","sandy","plains",116,2.9,0,12.9,0,0,1.7,0.9,0,0,0,0,0,0,41.4,1.7,0,0,0,0,2.6,0,14.7,0,0,0,3.4,0,0,0,0,1.7,17.2,1.7
"98A moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","98A","moist","typic","loamy","plains",178,2.9,0,11.2,0,0,3.9,0.6,0,0,0,0,0,0,33.1,5.6,0,1.7,0,0,1.1,0,3.9,0,0,0,1.7,0,0,0,0,2.2,28.1,6.7
"98A dry typic loamy plains","MIXED HARDWOOD SWAMP","98A","dry","typic","loamy","plains",134,0.9,0,8.2,0,0,6,0,0,0,0,0,0,0,9,17.2,0,3.7,0,0.7,1.5,0,0,0.7,6,0,32.1,0,0,0,0,2.2,0,12.7
"98A moist typic loamy plains","MIXED CONIFER SWAMP","98A","moist","typic","loamy","plains",164,2.6,0,7.3,0,1.8,4.9,1.2,0,0,0,0,0,0,2.4,8.5,0,44.5,0,0,0,0,1.2,0,2.4,0,9.8,0,1.2,0,1.2,0.6,4.9,7.9
"98A dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","98A","dry","typic","loamy","plains",243,1.6,0,13.2,0,0,1.6,0.4,0,0,0,0,0,0,45.3,1.6,0,1.2,0,0,1.6,0,6.6,0,0.8,0,0.4,0,0,0,0,2.5,23.5,1.2
"98A wet typic loamy plains","BEECH-SUGAR MAPLE FOREST","98A","wet","typic","loamy","plains",355,26.9,0,12.4,0,0,0.8,1.1,0,0,0,0.3,0.3,0,27,18.9,0.8,0,0,0,2,0,0.6,0.3,0.8,0.6,7,0,0,0,0,9.3,0.6,17.2
"98A moist typic loamy plains","SHRUB SWAMP/EMERGENT MARSH","98A","moist","typic","loamy","plains",112,1.8,0,13.4,0,0,0,0.9,0,0,0,0,0,0,0.9,11.6,0,1.8,0,0,0.9,0,0,0,8.9,0,50,0,0,0,0,0.9,0,10.7
"98A dry typic loamy plains","SHRUB SWAMP/EMERGENT MARSH","98A","dry","typic","loamy","plains",152,1,0,0.7,0,0,1.3,2.6,0,0,0,0,0,0,2,5.3,0,3.9,0,0,0,0,2,0,8.6,0,71.1,0,0,0,0,0,0,2.6
"98A wet typic loamy plains","MIXED HARDWOOD SWAMP","98A","wet","typic","loamy","plains",175,13.3,0,12.6,0,0,2.9,0,0,0,0,0,0,0,6.9,28,0.6,4.6,0,0,1.7,0,1.1,0.6,3.4,0,8.6,0,2.9,0,0,2.3,1.1,22.9
"98A moist typic loamy plains","MIXED HARDWOOD SWAMP","98A","moist","typic","loamy","plains",292,4.7,0,10.6,0,0.3,1.4,1.4,0,0,0,0,0,0,9.2,20.5,0.7,2.1,0,0,3.4,0,0.7,1,7.5,2.1,12.3,0,1.4,0,0,3.8,0,21.6
"98A wet typic loamy plains","MIXED CONIFER SWAMP","98A","wet","typic","loamy","plains",160,12.1,0,1.2,0,1.2,2.5,0,0,0,0,0,0,0,3.1,12.5,0,56.2,0,0,1.2,0,3.1,0.6,1.2,0.6,6.9,0,0,0,0.6,0.6,0,8.1
"94AA dry spodic sandy plains","MIXED PINE-OAK FOREST","94AA","dry","spodic","sandy","plains",116,1.6,0,4.3,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,56,0,6,0,23.3,0,0,0,0,0,1.7,0
"99B moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","99B","moist","typic","loamy","plains",413,11.4,0.7,12.1,0,0,4.1,0,0,0,0,0,0,0,20.1,4.6,0,0,0,0,0.5,0,4.1,0,0.2,0.2,1.7,0,0,0,2.7,3.6,40.4,4.8
"99B dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","99B","dry","typic","loamy","plains",100,18.2,0,19,0,0,1,0,0,0,0,0,0,0,37,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,36,1
"99B moist euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","99B","moist","euic","sandy","plains",180,11.1,0,18.3,0,0,4.4,0,0,0,0,0,0,0,18.9,5.6,0,0,0,0,0,0,7.2,0,0,0,3.3,0,0,0,2.2,1.7,35.6,2.8
"99B wet typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","99B","wet","typic","loamy","plains",103,5.5,0,15.5,0,0,3.9,0,0,0,0,0,0,0,19.4,16.5,0,0,0,0,0,0,7.8,0,0,0,1,0,0,0,8.7,4.9,18.4,3.9
