"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"96B dry super spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","super spodic","sandy","plains",110,82.1,0,11.8,0,0,0,0,0,0,0,0,0,0,60,2.7,0,0,0,0,0,0,3.6,0,0,0,0.9,0,0,0,1.8,0.9,17.3,0.9
"96B dry typic sandy plains","HEMLOCK-WHITE PINE FOREST","96B","dry","typic","sandy","plains",159,3.1,0,5,0,0.6,0,0,0,0,0,0,0,0,25.2,0,0,0.6,0,0,0,0,28.9,0,3.1,0,13.8,0,0,0,1.3,0,21.4,0
"96B dry spodic sandy plains","HEMLOCK-WHITE PINE FOREST","96B","dry","spodic","sandy","plains",170,8.1,0,9.4,0,0,1.8,0,0,0,0,0,0,0,27.6,0.6,0,0,0,0,0,1.2,16.5,0,1.2,0,12.9,0,0,0,0,0,28.8,0
"96B moist dysic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","moist","dysic","sandy","plains",137,12,0,19.7,0,0,3.6,0,0,0,0,0,0,0,46,2.2,0,1.5,0,0,1.5,0,13.1,0,0,0,5.1,0,0,0,0,0,7.3,0
"96B dry spodic sandy plains","WHITE PINE-WHITE OAK FOREST","96B","dry","spodic","sandy","plains",168,8,0,10.1,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,43.5,0,3,0,26.2,0,0,0,0.6,0,1.2,0
"96B dry typic sandy plains","WHITE PINE-WHITE OAK FOREST","96B","dry","typic","sandy","plains",1204,23.9,0,2.5,0,0,0.3,0,0,0,0,0,0,0,4.6,0.4,0,0,0,0,0,0,46.8,0,1.6,0.1,42.6,0,0,0,0.3,0,0.6,0.2
"96B dry typic sandy plains","OAK/PINE BARRENS","96B","dry","typic","sandy","plains",253,5,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,49,0,1.6,0,47.8,0,0,0,0,0,0,0.4
"96B dry typic loamy plains","WHITE PINE-WHITE OAK FOREST","96B","dry","typic","loamy","plains",109,9.6,0,9.2,0,0,0.9,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,28.4,0,3.7,0,47.7,0,0,0,0,0,0,0.9
"94C moist dysic sandy plains","MIXED CONIFER SWAMP","94C","moist","dysic","sandy","plains",108,16.3,1.9,0,0,0,4.6,0,0,0,0,0,0,0,0,1.9,0,13.9,0,0,0,10.2,14.8,0,8.3,0,0.9,0,0.9,0,25,0,17.6,0
"94C moist euic sandy plains","MIXED CONIFER SWAMP","94C","moist","euic","sandy","plains",132,28.4,4.5,2.3,0,0,4.5,0,0,0,0,0,0,0,4.5,0.8,0,22.7,0,0,0,4.5,19.7,0,9.8,0,0,0,0,0,18.9,0,7.6,0
"94C moist euic sandy plains","CEDAR SWAMP","94C","moist","euic","sandy","plains",143,30.8,2.1,3.5,0,0,2.8,0,0,0,0,0,0,0,2.8,9.8,0,10.5,0,0,0,2.8,7,0,2.1,0,0,0,0,0,37.8,0.7,17.5,0.7
"94C wet euic sandy plains","CEDAR SWAMP","94C","wet","euic","sandy","plains",122,34.7,0.8,3.3,0,0,10.7,0,0,0,0,0,0,0,1.6,2.5,0,13.1,0,0,0,4.1,6.6,0,0.8,0,0,0,0,0,39.3,0,16.4,0.8
"94C wet typic loamy plains","MIXED CONIFER SWAMP","94C","wet","typic","loamy","plains",118,18.5,3.4,2.5,0,0,4.2,0,0,0,0,0,0,0,3.4,5.1,0,20.3,0,0,0,8.5,13.6,0,5.9,0,0,0,0,0,24.6,0,8.5,0
